sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
This enables you to ask us to delete or remove personal data where there is no good reason for us continuing to process it	NaN	NaN	NaN	NaN
You may correct , update and delete your registration account	NaN	NaN	NaN	NaN
You can access or delete your personal data	NaN	NaN	NaN	NaN
Delete Data : You can ask us to erase or delete all or some of your personal data ( e.g. , if it is no longer necessary to provide Services to you ) .	NaN	NaN	NaN	NaN
Change or Correct Data : You can edit some of your personal data through your account .	['change', 'correct']	NaN	['edit']	['your account']
Where we rely on your consent to process personal data , you have the right to withdraw or decline your consent at any time and where we rely on legitimate interests , you have the right to object	NaN	NaN	NaN	NaN
If you do not want LivU to store this information , you may opt-out through your account settings in the LivU application at any time	NaN	NaN	NaN	NaN
You control your Profile and you can access and modify your Profile from the LivU application at any time .	['control','access','modify']	NaN	NaN	['your profile']
In accordance with Article 16 of the GDPR , you have the right to correct and/or complete your data vis -- vis the responsible party if the personal data processed concerning you is incorrect or incomplete	NaN	NaN	NaN	NaN
You may access , modify or delete ( subject to applicable law ) the personal information associated with your use of our services at any time by updating your My Account information by navigating to my.malwarebytes.com , signing into your account and updated your personal information	['access', 'modify', 'delete']	NaN	['update']	['My Account']
If you want us to delete your personal information , your forum account , or your support account , please contact us at -Email- with your request	['delete']	NaN	['contact']	['-Email-']
You can review and revise your profile information at any time	NaN	NaN	NaN	NaN
You should only delete your account if you are certain you never want to restore it .	NaN	NaN	NaN	NaN
You can change your display name and avatar at any time	NaN	NaN	NaN	NaN
You can easily delete your data in the settings for your account	['delete']	NaN	NaN	['the settings','your account']
erase your personal data	NaN	NaN	NaN	NaN
You also have the right to instruct us to correct any personal data that is inaccurate .	NaN	NaN	NaN	NaN
Lastly , you have the right to ask us to erase your personal data , if there are no legal reasons for us to retain it ( such as freedom of expression , legal requirements , public interest or if required as evidence in legal disputes ) and one of the following reasons applies :	NaN	NaN	NaN	NaN
If you would like to seek access to Personal Information that Metro may have about you or update that information then please contact the Metro department that collected your information in the first instance or write to Metros Privacy Officer via the details set out below	['update']	['access']	['contact','write']	['the Metro department', 'Metros Privacy Officer','the details']
Whenever made possible , you can update your Personal Data directly within your account settings section .	['update']	NaN	NaN	['your account settings section']
If you are unable to change your Personal Data , please contact us to make the required changes	NaN	NaN	NaN	NaN
If you wish to be informed what Personal Data we hold about you and if you want it to be removed from our systems , please contact us	NaN	NaN	NaN	NaN
To rectify any Personal Data held about you that is inaccurate	NaN	NaN	NaN	NaN
To request the deletion of Personal Data held about you	NaN	NaN	NaN	NaN
modify personal data you have provided to us in association with your Publisher Partner or Advertising Demand Partner account .	NaN	NaN	NaN	NaN
Registered persons are free to change the personal data specified during the registration at any time , or to have them completely deleted from the data stock of the controller	NaN	NaN	NaN	NaN
In addition , the data controller shall correct or erase personal data at the request or indication of the data subject , insofar as there are no statutory storage obligations	NaN	NaN	NaN	NaN
the existence of the right to request from the controller rectification or erasure of personal data , or restriction of processing of personal data concerning the data subject , or to object to such processing ;	NaN	NaN	NaN	NaN
c ) Right to rectification	NaN	NaN	NaN	NaN
If a data subject wishes to exercise this right to rectification , he or she may , at any time , contact any employee of the controller .	NaN	['this righ','rectification']	['contact']	['any employee of the controller']
d ) Right to erasure ( Right to be forgotten )	NaN	NaN	NaN	NaN
Each data subject shall have the right granted by the European legislator to obtain from the controller the erasure of personal data concerning him or her without undue delay , and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies , as long as the processing is not necessary	NaN	NaN	NaN	NaN
You can edit or delete your data at any time	NaN	NaN	NaN	NaN
Right to Rectify	NaN	NaN	NaN	NaN
Right to Erasure	NaN	NaN	NaN	NaN
Right to Erasure - You have the right to request us to destroy personal information without undue delay	NaN	NaN	NaN	NaN
If your personal information has changed , or if you do not need our services , you can update , correct , delete inaccurate information , or delete your personal information in your account settings or by contacting us	['update', 'delete', 'correct']	NaN	NaN	['your account settings']
You can delete or modify the submitted data using your profile page	['modify','delete']	NaN	NaN	['your profile page']
You can disconnect your devices from My Flow , and delete your data through the applications Settings menu	['delete']	NaN	NaN	['settings menu']
delete any of your personal data that we might possess	NaN	NaN	NaN	NaN
Right to correct your data in accordance with Art	NaN	NaN	NaN	NaN
you can contact us if your email address has been changed and we should replace your old email address )	NaN	NaN	NaN	NaN
you can contact us if you want us to delete certain data that we have stored about you , please load Terms & Privacy from your Game settings and follow instructions in section request Personal Data to be removed in Privacy Policy ( available to EEA-based users only ) )	['delete']	NaN	['contact','load']	['your game settings']
You may update or correct your account information at any time by logging in to your account	['update','correct']	NaN	['log']	['your account']
You may edit or delete the answers that you post at any time	NaN	NaN	NaN	NaN
Accessing and Updating Your Personal Information	NaN	NaN	NaN	NaN
R2Games will do everything in our power by using the appropriate technologies to ensure that you can access , update , and revise your registration information , or to use other personal information provided by R2Games ' Services .	NaN	NaN	NaN	NaN
You can modify , change , update , or delete your personal information at any time	NaN	NaN	NaN	NaN
Should your information appear to be incorrect , incomplete or irrelevant , then you can make an additional request to have your details changed or supplemented .	NaN	NaN	NaN	NaN
or to delete your personal data	NaN	NaN	NaN	NaN
Right to request that your personal information is erased .	NaN	NaN	NaN	NaN
Right to rectification : We are required to rectify inaccurate personal data , or to complete personal data that is incomplete , on request .	NaN	NaN	NaN	NaN
Right to erasure ( right to be forgotten ) : We are in some circumstances required to erase Your personal data on Your request .	NaN	NaN	NaN	NaN
Right to be forgotten : In certain circumstances you may request the erasure of your personal data	NaN	NaN	NaN	NaN
If you want any information about you which we store to be erased , please contact us using the contact information below	['erase']	NaN	['contact']	['the contact information']
You should be aware that in such case you must uninstall and delete our Services from your device , delete the cookies from your device and stop using our Services .	NaN	NaN	NaN	NaN
You may ask us to modify , correct or remove information by contacting us at the email address above .	['modify', 'correct', 'remove']	NaN	['contact']	['the email address']
In addition to the above methods , you may be entitled to request to delete , restrict , correct , or receive a copy of the personal information collected about you	NaN	NaN	NaN	NaN
You can download , edit or permanently delete your personal data at any time	NaN	NaN	NaN	NaN
You can edit , hide and delete personal data in the My Profile settings within the Tandem app	['edit','delete']	NaN	NaN	['the My Profile settings']
Also , you can request the deletion of your account or ask for certain profile information to be changed via Tandems customer support ( support@tandem.net ) .	['change']	['the deletion']	NaN	['customer support','support@tandem.net']
You also have the right to demand that your personal data is rectified or amended .	NaN	NaN	NaN	NaN
You have the right to correct any personal information held about you that is inaccurate	NaN	NaN	NaN	NaN
You can delete your account , or remove certain personal information , by logging into your Game account .	['delete', 'remove']	NaN	['log']	['your game account']
You can update or correct Personal Information ( e.g. , your email address ) by accessing your account	['update', 'correct']	NaN	['access']	['your account']
You can also access or rectify your information by reaching out to us at -Email- .	['access','rectify']	NaN	NaN	['-Email-']
You can delete your information by sending an email to -Email- with your first name , last name , and the respective email addresses you would like for us to delete .	['delete']	NaN	['send']	['-Email-']
to verify their accuracy or to ask for them to be supplemented , cancelled , updated or corrected , or for their transformation into anonymous format or to block any of your personal information ,	NaN	NaN	NaN	NaN
as well as to oppose their processing for any and all legitimate reasons .	NaN	NaN	NaN	NaN
Right to rectification : The right to have inaccurate information about you corrected or removed	NaN	NaN	NaN	NaN
Right to erasure ( 'right to be forgotten ' ) : The right to have certain personal information about you erased	NaN	NaN	NaN	NaN
If you want to delete your Account , you can do so from your Account Settings ( /settings/account ) page or by emailing us ( /support ) and providing proof of authority over the Account .	['delete']	NaN	['email']	['your account settings']
If you wish to access , correct , update or request deletion of your personal information , you can do so at any time by contacting us using the contact details provided under the How to contact us heading below .	['access','correct','update']	['deletion']	['contact']	['the contact details']
How you can access and update such information .	NaN	NaN	NaN	NaN
You can review	NaN	NaN	NaN	NaN
revise your profile information at any time .	NaN	NaN	NaN	NaN
Through your account Settings , you are able to access , edit or delete information you 've provided to us , including :	['access','edit','delete']	NaN	NaN	['your account settings ']
You also have a right to correct your personal data .	NaN	NaN	NaN	NaN
In certain situations , you can ask that we stop using your information or erase it or export it .	NaN	NaN	NaN	NaN
Once Mobile War receives your information from an SNS , that information is stored and used by Mobile War in accordance with this Privacy Policy , and you may access and update that information as described below .	NaN	NaN	NaN	NaN
Place Delete My Account in the subject line and include your first name , last name , e-mail address and user ID number from which you access our Services ( if applicable ) in the body of the e-mail .	NaN	NaN	NaN	NaN
Other steps you should take should you wish to delete your account include disassociating your Facebook account from our mobile games and deleting the game from your mobile device .	NaN	NaN	NaN	NaN
Please note that if ask us to delete your account all your progress in the game and any unused virtual items will be lost and we may not be able to restore them in the future .	NaN	NaN	NaN	NaN
If you wish to review , change or correct the information Mobile War has about you , e-mail us at support@mobilewar-online.com	['review','change','correct']	NaN	['e-mail']	['support@mobilewar-online.com']
Request correction of the Personal Data that we hold about you .	NaN	NaN	NaN	NaN
You also have the right to ask us to delete or remove your Personal Data where you have exercised your right to object to processing ( see below ) .	NaN	NaN	NaN	NaN
Note that if you ask us to remove your personal data , we will retain your data as necessary for our legitimate business interests , such as to comply with our legal obligations , resolve disputes , and enforce our agreements .	NaN	NaN	NaN	NaN
You have the right to request access to and rectification or erasure of Personal Information or restriction of processing , the right to object and the right to data portability .	NaN	NaN	NaN	NaN
You can access or request deletion of your personal information by submitting a request through our Personal Data Request Portal .	['access']	['deletion']	['submit']	['our Personal Data Request Portal']
Where a customer requests that corrections , additions or deletions (  Corrections , etc.   be made to the substance of personal information pursuant to the Personal Information Protection Act due to inaccuracies in the personal information , the Company shall confirm that the request was made by the customer himself/herself , conduct a necessary investigation without delay to the extent necessary to achieve the purpose of use , make Corrections , etc	NaN	NaN	NaN	NaN
to the substance of the personal information based on the result , and notify the customer to that effect ( where it is determined that no such Corrections , etc	NaN	NaN	NaN	NaN
will be made , the Company shall notify the customer to that effect ) .	NaN	NaN	NaN	NaN
request the access to and rectification or erasure of personal data processed by the LLC   WebmartGroup   ;	NaN	NaN	NaN	NaN
Whenever made possible , you can access , update or request deletion of your Personal Data directly within your account settings section .	['access', 'update']	['deletion']	NaN	['your account settings section']
We offer the ability to correct or update the information collected during registration via your account settings on our website or the applicable App or by contacting support via our online support form and we rely on the accuracy of the information you provide us ( such as your age ) .	['correct', 'update']	NaN	['contact']	['your account settings','our online support form']
You can also change , restrict , limit or delete much of your information by logging into your account .	['change', 'restrict', 'limit', 'delete']	NaN	['log']	['your account']
You have the right to access your personal data and have it corrected if it is wrong or incomplete .	NaN	NaN	NaN	NaN
You also have the right to obtain the deletion of your data when it is no longer relevant to the purposes for which it was collected or processed , when you have withdrawn consent and there is no basis for us to continue processing , when you have objected to further processing and there is no compelling interest for continued processing , and when the data was unlawfully processed .	NaN	NaN	NaN	NaN
You may delete your personal data by removing the data from your account ; alternatively , you can delete your account .	['delete']	NaN	['remove','delete']	['your account']
Right to rectify your personal information : you can request that we update , block or delete your personal data , if the data is incomplete , outdated , incorrect , unlawfully received or no longer relevant for the purpose of processing .	NaN	NaN	NaN	NaN
You also have a right to independently remove personal information on your account and make changes and corrections to your information , provided that such changes and corrections contain up-to-date and true information .	['remove']	['a right','changes','corrections']	NaN	['your account']
You can delete your account any time	NaN	NaN	NaN	NaN
When you delete your account , we delete all information about you .	NaN	NaN	NaN	NaN
requesting rectification / correction of your data in justified cases ;	NaN	NaN	NaN	NaN
You may review , edit , or change the personal data that you had previously provided to us in the profile section of the App .	['review', 'edit', 'change']	NaN	NaN	['the profile section']
Deleting your personal data .	NaN	NaN	NaN	NaN
You can request erasure of your personal data by sending us an email at support@betterme.tips .	NaN	['erasure']	['send']	['support@betterme.tips']
If you have connected your Facebook account or used your email for registration in our App or entered your name in the App , section  Manage personal data   in the App 's settings will be available to you	NaN	NaN	NaN	NaN
You may select  Remove data   there and we will delete the personal data collected from you .	['delete']	NaN	['select']	['Remove data']
Right to erasure ( right to obtain the erasure of personal data concerning You ) in accordance with Section 10 Privacy Policy ;	NaN	NaN	NaN	NaN
You are entitled to see the information We hold about You and You may ask Us to make any necessary changes or rectifications to ensure that it is accurate and kept up to date	NaN	NaN	NaN	NaN
If You wish to do this , please contact Us in writing using the information provided above .	NaN	NaN	NaN	NaN
Access , Updating or Correcting Your Personal Data	NaN	NaN	NaN	NaN
You have the right to request access and/or correction or any other personal data that we hold about you .	NaN	NaN	NaN	NaN
If you believe any information we are holding on you is incorrect or incomplete , please write to or email us as soon as possible at the email address below .	NaN	NaN	NaN	NaN
If you believe that the information we hold about you is inaccurate or that we are no longer entitled to use it and want to request its rectification , deletion or object to its processing , please contact us via Email at the end of this Privacy Policy .	['object']	['rectification','deletion']	['contact']	['Email']
In summary , you may request access to your data rectification of any mistakes in our files , erasure of records where no longer required , restriction on the processing of your data , objection to the processing of your data , data portability and various information in relation to any automated decision making and profiling or the basis for international transfers	NaN	NaN	NaN	NaN
You can ask us to rectify inaccurate personal data	NaN	NaN	NaN	NaN
We may seek to verify the accuracy of the data before rectifying it .	NaN	NaN	NaN	NaN
You can ask us to erase your personal data , but only where :	NaN	NaN	NaN	NaN
If yours or your child  s personally identifiable information changes , or if you no longer desire our service , you may correct , update , delete inaccuracies or remove it by making the change on our member information page or by emailing us at -Email- .	['correct','update','delete','remove']	['the change']	['email']	['our member information page','-Email-']
request to have it deleted	NaN	NaN	NaN	NaN
You have the right to ask us to correct inaccurate or incomplete personal information concerning you .	NaN	NaN	NaN	NaN
If you no longer want us to use your information to provide our services to you , you can request that we erase your personal information and close your account .	NaN	NaN	NaN	NaN
You have the right to access , modify , correct or delete any personal information we may collect .	NaN	NaN	NaN	NaN
( i ) request access to and correct or delete your personal information ;	NaN	NaN	NaN	NaN
You have the right to access , modify , correct or delete any personal data which we may have collected .	NaN	NaN	NaN	NaN
Individuals in the European Economic Area , Canada , Costa Rica and some other jurisdictions outside the United States have certain legal rights to obtain confirmation of whether we hold personal data about them , to access personal data we hold about them ( including , in some cases , in portable form ) , and to obtain its correction , update , amendment or deletion in appropriate circumstances	NaN	NaN	NaN	NaN
How do I correct , update , amend , or delete the personal data you have about me	NaN	NaN	NaN	NaN
In addition to the functionality available through the  Settings   of the Services , in which you can correct , update , amend , or delete certain personal data , you can also request other modifications from us directly	['correct', 'update', 'amend', 'delete']	['modifications']	NaN	['Settings of the Services']
Where you can not update data by yourself through your account , you have the right to ask us to correct change , update or rectify your data .	NaN	NaN	NaN	NaN
You have the right to ask us to delete all or some of the personal data we hold about you .	NaN	NaN	NaN	NaN
If you have an account , you can also delete your account at any time .	NaN	NaN	NaN	NaN
You also have other rights such as to correct your data , have your data deleted ,	NaN	NaN	NaN	NaN
If that information is wrong , we strive to give you ways to update it quickly or to delete it   unless we have to keep that information for legitimate business or legal purposes .	NaN	NaN	NaN	NaN
If you no longer want us to use your information that we physically access and store , you can request that we erase your personal information and close your account .	NaN	NaN	NaN	NaN
In compliance with legal provisions , you have a general right to access , edit and delete your personal information which have been collected pursuant to your access to and/or use of the Service .	NaN	NaN	NaN	NaN
Parent may contact us in order to review and / or delete any personal information the Company have collected regarding the child or cancel permission to collect the additional information regarding the child	NaN	NaN	NaN	NaN
You can change the account information , update or modify your personal information by login to your account	['change', 'update', 'modify']	NaN	['log']	['your account']
FINDNOW may renew , correct or delete , on its discretion or on your demand ; the incomplete , inaccurate or invalid information kept by FINDNOW relating to the provision of the services .	NaN	NaN	NaN	NaN
You can update your account and profile information or close your account through settings within the Services	['update','close']	NaN	NaN	['settings within the Services']
( iv ) a right to have inaccurate information rectified ;	NaN	NaN	NaN	NaN
( v ) a right to have certain information erased where it is no longer necessary for us to process it , where you have withdrawn your consent pursuant to paragraph ( viii ) , where you have objected pursuant to paragraph ( iii ) , where your information has been unlawfully processed , or where erasing your information is required in accordance with a legal obligation ;	NaN	NaN	NaN	NaN
request that we correct any personal data we process about you that are inaccurate , incomplete or outdated .	NaN	NaN	NaN	NaN
request that we delete all personal data we process about you if those data are no longer necessary for the purposes for which they were collected .	NaN	NaN	NaN	NaN
If you want us to correct data , we ask you to clearly specify which personal data are inaccurate and to provide us with proof of why they are inaccurate .	NaN	NaN	NaN	NaN
In addition , you may at any time review or change your personally identifiable information by going to your account settings .	['review','change']	NaN	NaN	['your account settings']
Right to correct personal information	NaN	NaN	NaN	NaN
We try to keep the information that we hold about you accurate and up to date .	NaN	NaN	NaN	NaN
In some circumstances you have a right to have some of the personal information that we hold about you deleted .	NaN	NaN	NaN	NaN
You may also correct , update , or amend your personal information in your profile settings within the GeoZilla app or by emailing us .	['correct', 'amend', 'update']	NaN	['email']	['your profile settings']
Accessing / reviewing / updating / correcting your personal data .	NaN	NaN	NaN	NaN
You may review , edit , or change the personal data that you had previously provided in the App in the settings section of the App .	['review', 'edit', 'change']	NaN	NaN	['the settings section']
You can request erasure of your personal data by sending us an email at support@get-headway.com .	NaN	['erasure']	['send']	['support@get-headway.com']
Through your account settings , you may access , and , in some cases , edit or delete the information you  ve provided to us .	['access', 'edit', 'delete']	NaN	NaN	['your account settings']
The information you can view , update , and delete may change as the Services change .	NaN	NaN	NaN	NaN
You may be able to add , update , or delete information as explained above .	NaN	NaN	NaN	NaN
You may request deletion of your account by emailing -Email-	NaN	['deletion']	['email']	['-Email-']
Rectification : If you believe that any Personal Data we are holding about you is incorrect or incomplete , you can request that we correct or supplement such data .	NaN	NaN	NaN	NaN
Erasure : You can request that we erase some or all of your Personal Data from our systems .	NaN	NaN	NaN	NaN
Updating or deleting Information	NaN	NaN	NaN	NaN
You have the right to obtain from us the rectification of inaccurate Data concerning you .	NaN	NaN	NaN	NaN
to request us to make any changes to your personal data if it is inaccurate or incomplete ;	NaN	NaN	NaN	NaN
to request your personal data is erased where we do not have a compelling reason to continue to process such personal data in certain circumstances ;	NaN	NaN	NaN	NaN
HealthVault services let you gather , edit , add to , and store health data online , and share your health data with family , caregivers , and health care professionals .	NaN	NaN	NaN	NaN
You may update your account at any time by logging in and changing your profile settings .	['update']	NaN	['change']	['your profile settings']
Right to erasure ( the  Right to be Forgotten   .	NaN	NaN	NaN	NaN
You may request us to erase any of your personal information held by us that : is no longer necessary in relation to the purposes for which it was collected or otherwise processed ; was collected in relation to processing that you previously consented to , but later withdrew such consent ; or was collected in relation to processing activities to which you object , and there are no overriding legitimate grounds for our processing .	NaN	NaN	NaN	NaN
Update information which is out of date or incorrect ;	NaN	NaN	NaN	NaN
Delete certain information which we are holding about you ;	NaN	NaN	NaN	NaN
You control your Profile and you can access and modify your Profile from the Service at any time	['access', 'modify']	NaN	NaN	['the Service']
You can remove your data anytime you want .	NaN	NaN	NaN	NaN
If you ask us to delete your account , we will use commercially reasonable efforts to remove your data from our servers .	NaN	NaN	NaN	NaN
You can learn how to access and delete information we collect by visiting the Facebook Settings and Instagram Settings .	['access','delete']	NaN	[visit]	['Facebook settings','Instagram Settings']
We provide you with the ability to access , rectify , port and erase your data .	NaN	NaN	NaN	NaN
When you delete your account , we delete things you have posted , such as your photos and status updates , and you wo n't be able to recover that information later .	NaN	NaN	NaN	NaN
How can you review , correct or delete your personally identifiable information	NaN	NaN	NaN	NaN
You may ask us to correct or remove your personal information by contacting us at netmarbles@igsinc.co.k	['correct', 'remove']	NaN	['contact']	['netmarbles@igsinc.co.k']
You may request to delete your account by logging in to the account that you wish to delete and going to the Customer Support menu to submit your request .	['delete']	NaN	['log']	['the account', 'the Customer Support menu']
11.4 ) Right to erasure	NaN	NaN	NaN	NaN
Please note that we may be obligated to keep some or all of your information on our servers even after you 've deleted your account .	NaN	NaN	NaN	NaN
You are entitled at any time to request information about your personal identifiable information that we store , and request us to rectify , erase	NaN	NaN	NaN	NaN
You have total control over your profile information and you can access to modify at any time	NaN	NaN	NaN	NaN
You can access and update your account information right in the app by visiting the app  s Settings page .	['access', 'update']	NaN	['visit']	['the app  s Settings page']
If you need to access , update , or delete any other personal information that we may have , you can put in a request here .	['access','update','delete']	NaN	NaN	['here']
Because your privacy is important to us , we may ask you to verify your identity or provide additional information before we let you access or update your personal information .	NaN	NaN	NaN	NaN
In areas where you are not allowed to modify your personal information online , you can go to ICBC outlets to modify it	['modify']	NaN	NaN	['ICBC outlets']
Users may review , update , correct or delete any personal information by changing the applicable information in users   profile page	['review', 'delete','update', 'correct']	NaN	['change']	['users   profile page']
You can permanently delete your imo chat history at any time .	NaN	NaN	NaN	NaN
You can edit , update , or delete your account at any time .	NaN	NaN	NaN	NaN
You may delete your chat history stored on imo  s servers by selecting the  Delete chat history   option in the settings of the imo app .	['delete']	NaN	['select']	['the  delete chat history option', 'the settings']
You may delete your entire account , by selecting the  Delete imo account   option in the settings .	['delete']	NaN	['select']	['the  Delete imo account   option','the settings']
You may edit your account information via the app .	['edit']	NaN	NaN	['the app']
Subject to limitations in applicable law , you are entitled to object to or request the restriction of processing of your Personal Data , and to request access to , rectification , erasure and portability of your own Personal D	NaN	NaN	NaN	NaN
to update and correct inaccuracies in your Personal Information	NaN	NaN	NaN	NaN
You may deactivate your Keeper Security account and delete your personally identifiable information at any time by contacting us at -Email- clearly indicating that you wish to deactivate and delete such information .	['delete']	NaN	['contact']	['-Email-']
If your personal information changes , you may correct or update by emailing our Customer Support at -Email-	['correct','update']	NaN	['email']	['our customer support','-Email-']
If you wish to access , correct , update or request deletion of your personal information , you can do so at any time by contacting us in-game or at	['correct','update','access']	['deletion']	['contact']	['game']
as well as the right to request a deletion of that data	NaN	NaN	NaN	NaN
If you need to change or correct your Personal Data , or wish to have it deleted from our systems , you may contact us at -Email- .	['change', 'correct','delete']	NaN	['contact']	['-Email-']
Right to rectification : If your Personal Data is inaccurate or incomplete , you are entitled to ask that we correct or complete it .	NaN	NaN	NaN	NaN
Right to erasure : You may ask us to erase your Personal Data in some circumstances , such as where we no longer need it or you withdraw your consent ( where applicable )	NaN	NaN	NaN	NaN
DELETING YOUR ACCOUNT	NaN	NaN	NaN	NaN
Accessing and Correcting Information	NaN	NaN	NaN	NaN
Please contact HOMER Learning as provided below if you would like to access the personally identifiable information that we have collected online from you or your child , correct factual errors in such information , request to have this information deleted , or request that we no longer collect or maintain such information .	NaN	NaN	NaN	NaN
Parents/guardians of children under the age of 13 can email us an official request to review any personally identifiable information collected about their child , have this information deleted , and/or request that there be no further collection or use of their child 's personally identifiable information .	NaN	NaN	NaN	NaN
You may request to remove your account and data on our Services by contacting the Service support ( see Section 10 for details ) .	['remove']	NaN	['contact']	['the Service support']
You have the right to have inaccurate Personal Data rectified , in accordance with Article 16 of the GDPR .	NaN	NaN	NaN	NaN
Changing or Removing Account Information	NaN	NaN	NaN	NaN
Accessing and Correcting Your Personal Information .	NaN	NaN	NaN	NaN
Profile-If you wish to access or edit the nickname , profile photo , signature , job and address information , interests , questions and answers , etc. , in your profile , you can view the profile by clicking the profile photo on the left side of the page on Tantan	['access','edit']	NaN	['click']	['the profile photo']
Correcting or Supplementing Your Personal Information	NaN	NaN	NaN	NaN
If you find an error in your personal information processed by us , you have the right to require us to correct or supplement the personal information	NaN	NaN	NaN	NaN
You can submit an application to correct or supplement the personal information through the approach specified in Clause ' ( 5.1 ) Accessing Your Personal Information ' in this section .	NaN	NaN	NaN	NaN
Deleting Your Personal Information	NaN	NaN	NaN	NaN
You can delete part of your personal information through the approach specified in Clause ' ( 5.1 ) Accessing Your Personal Information ' in this section	NaN	NaN	NaN	NaN
You can request us to delete the personal information in the following circumstances : You can delete part of your personal information through the approach specified in Clause ' ( 5.1 ) Accessing Your Personal Information ' in this section	NaN	NaN	NaN	NaN
You can request us to delete the personal information in the following circumstances :	NaN	NaN	NaN	NaN
Users have the right , at any time , to know whether their Personal Data has been stored and can consult the Data Controller to learn about their contents and origin , to verify their accuracy or to ask for them to be supplemented , cancelled , updated or corrected , or for their transformation into anonymous format or to block any data held in violation of the law , as well as to oppose their treatment for any and all legitimate reasons .	NaN	NaN	NaN	NaN
Modifying or Deleting Your Personal Information	NaN	NaN	NaN	NaN
When you delete your Medium account , Medium deletes your personal data as explained in this policy	NaN	NaN	NaN	NaN
You may correct information associated with your account from the Settings page , and the Customize Your Interests page to update your interests .	['correct','update']	NaN	NaN	['the Settings page','the Customize Your Interests page']
1.Access to , rectify and/or erase of your personal data retained on our system ;	NaN	NaN	NaN	NaN
You may modify your account information on your profile page at any time .	['modify']	NaN	NaN	['your profile page']
Accessing , Correcting , and Deleting Your Information	NaN	NaN	NaN	NaN
