sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
18 Right to lodge a complaint with a supervisory authority	NaN	NaN	NaN	NaN
Without prejudice to any other administrative or judicial remedy that may be available to you , you have the right to lodge a complaint with a supervisory authority , in particular an authority in the Member State of your residence , your place of work or the place of the alleged infringement if you have reason to believe that your personal data is processed in violation of the GDPR .	NaN	NaN	NaN	NaN
You also have a right to lodge a complaint with the supervisory authority .	NaN	NaN	NaN	NaN
You have the right to lodge a complaint with our regulator , who is the Information Commissioner 's Office in the UK	['lodge']	['a complaint', 'the right']	NaN	['the Information Commissioner 's Office']
You can contact them in the following ways :	NaN	NaN	NaN	NaN
If applicable , you may also make a complaint to the data protection supervisory authority in the country where you are based .	NaN	NaN	NaN	NaN
When submitting a complaint , please provide a brief description of nature of your complaint and the specific services to which your complaint relates .	NaN	NaN	NaN	NaN
If you have a concern about our processing of personal data that we are not able to resolve , you have the right to lodge a complaint with the data privacy authority where you reside .	NaN	NaN	NaN	NaN
You may contact us about any question or complaint regarding adherence to the Principles as indicated in the Contact Us     section above	NaN	NaN	NaN	NaN
Lodge a complaint with the relevant data protection supervisory authority .	NaN	NaN	NaN	NaN
If you believe that the processing of your personal data constitutes an infringement of the provisions of the GDPR , you have the right to lodge a complaint with a supervisory authority in accordance with Article 77 GDPR .	NaN	NaN	NaN	NaN
In certain countries , including in the European Union , you have a right to lodge a complaint with the appropriate data protection authority if you have concerns about how we process your personal information .	NaN	NaN	NaN	NaN
You also have the right to lodge a complaint with a supervisory authority .	NaN	NaN	NaN	NaN
You have the right to complain to a data protection authority about our collection and use of your personal information which is to be in Huuuges case Cthe leading protection authority is Polish President of the Office of Data Protection	['complain']	['the right']	NaN	['Polish President of the Office of Data Protection']
If you wish to make a complaint over the processing of your personal data , you have the right to lodge a complaint to the relevant supervisory authority	NaN	NaN	NaN	NaN
the right to lodge a complaint with the supervisory authority	NaN	NaN	NaN	NaN
However , you do have the right to contact the relevant supervisory authority directly	NaN	NaN	NaN	NaN
You have the right to lodge a complaint with the ICO	['lodge']	['a complaint', 'the right']	NaN	['the ico']
Make a complaint to a Supervisory Authority If you are unhappy with the way we are processing your personal data , please let us know by contacting us via the support services	NaN	['a complaint']	['contact']	['the support services']
Right to lodge a complaint You have the right to lodge a complaint before the data protection supervisory authority : Information Commissioners Office - ICO Wycliffe House , Water Lane , Wilmslow SK9 5AF , Cheshire	['lodge']	['a complaint', 'information commissioners office - ico wycliffe house']	NaN	['Information Commissioners Office','ICO']
Lodging Complaints You have the right to lodge complaints about the data processing activities carried out by TGTG before the competent data protection authorities	NaN	NaN	NaN	NaN
In the event that you are not satisfied with our processing of your personal data , you have the right to lodge a complaint with the relevant supervisory authority , which is the Information Commissioner 's Office ( ICO ) in the UK , at any time	['lodge']	['a complaint', 'the right']	NaN	['Information Commissioner 's Office','ICO']
You may at any time refer your complaint to the relevant regulator in your jurisdiction if you are unsatisfied with a reply received from us	NaN	NaN	NaN	NaN
Further , you have a right to lodge a complaint with a competent data protection supervisory authority ( Article 77 GDPR in conjunction with applicable local law )	NaN	NaN	NaN	NaN
If you feel that an issue has not properly been resolved , you also have the right to lodge a complaint with the supervisory authority ICO : -URL-	['lodge']	['a complaint', 'the right']	NaN	['ICO','-URL-']
If you are unhappy with the way we are using your personal data you can also contact and are free to lodge a complaint with the Swedish Data Protection Authority ( Datainspektionen ) or your local Data Protection Authority	['lodge']	['a complaint']	NaN	['the Swedish Data Protection Authority']
