	KeyBert	KeyBert_Freq	TextRank_NOUN	TextRank_NOUN_Freq	TextRank_PROPN	TextRank_PROPN_Freq	TextRank_VERB	TextRank_VERB_Freq	SingleRank_NOUN	SingleRank_NOUN_Freq	SingleRank_PROPN	SingleRank_PROPN_Freq	SingleRank_VERB	SingleRank_VERB_Freq	PositionRank_NOUN	PositionRank_NOUN_Freq	PositionRank_PROPN	PositionRank_PROPN_Freq	PositionRank_VERB	PositionRank_VERB_Freq	MultipartiteRank	MultipartiteRank_Freq	Yake_NOUN	Yake_NOUN_Freq	Yake_PROPN	Yake_PROPN_Freq	Yake_VERB	Yake_VERB_Freq	sCAKE_NOUN	sCAKE_NOUN_Freq	sCAKE_PROPN	sCAKE_PROPN_Freq	sCAKE_VERB	sCAKE_VERB_Freq	SGRank_NOUN	SGRank_NOUN_Freq	SGRank_PROPN	SGRank_PROPN_Freq	SGRank_VERB	SGRank_VERB_Freq
14	policy	222.0	authority	77.0	united kingdom	10.0	receive	78.0	authority	77.0	united kingdom	10.0	receive	78.0	authority	77.0	united kingdom	10.0	receive	78.0	provide	125	authority	100.0	games	14.0	exercise	83.0	concern	66.0	information commissioner	5.0	exercise	59.0	use	106.0	games	14.0	use	73.0
15	object	190.0	-email-	76.0	ico	8.0	use	75.0	concern	69.0	ico	8.0	use	75.0	concern	69.0	ico	8.0	use	75.0	complaint	117	use	92.0	state	13.0	receive	79.0	access	65.0	terms	4.0	update	58.0	authority	100.0	support	13.0	send	71.0
16	provide	184.0	concern	69.0	uber	8.0	update	73.0	-email-	66.0	uber	8.0	update	73.0	-email-	66.0	uber	8.0	update	73.0	copy	109	access	90.0	support	13.0	use	72.0	consent	61.0	eea	4.0	want	58.0	access	90.0	office	12.0	wish	69.0
17	process	166.0	consent	65.0	art	7.0	wish	69.0	consent	65.0	art	7.0	wish	69.0	consent	65.0	art	7.0	wish	69.0	process	103	-email-	86.0	street	13.0	wish	69.0	user	57.0	member state	4.0	collect	57.0	setting	83.0	street	12.0	collect	66.0
18	account	163.0	user	61.0	data protection	7.0	collect	64.0	user	61.0	data protection	7.0	collect	64.0	user	61.0	data protection	7.0	change	65.0	ask	102	setting	84.0	office	12.0	collect	66.0	-email-	54.0	netherlands	4.0	like	56.0	protection	82.0	regulation	11.0	want	63.0
19	protection	147.0	format	55.0	european union	7.0	change	64.0	machine	53.0	european union	7.0	change	64.0	machine	52.0	european union	7.0	collect	64.0	account	100	protection	82.0	twitter	12.0	change	65.0	machine	52.0	data protection supervisory authority	4.0	change	55.0	policy	82.0	general	11.0	change	61.0
20	complaint	145.0	machine	53.0	office	7.0	want	63.0	child	51.0	office	7.0	want	63.0	child	51.0	office	7.0	want	63.0	lodge	84	policy	82.0	regulation	11.0	want	63.0	accordance	45.0	eu member state	4.0	restrict	54.0	concern	81.0	area	11.0	like	60.0
21	time	139.0	child	51.0	dpo	6.0	email	62.0	law	47.0	dpo	6.0	email	62.0	section	47.0	dpo	6.0	email	62.0	service	81	concern	81.0	general	11.0	email	62.0	section	45.0	dpo	4.0	believe	47.0	-email-	79.0	economic	11.0	believe	58.0
22	correct	134.0	law	47.0	data protection authority	6.0	like	60.0	section	47.0	data protection authority	6.0	like	60.0	policy	47.0	data protection authority	6.0	like	60.0	exercise	79	address	80.0	customer	11.0	like	60.0	child	45.0	information commissioners office	3.0	include	45.0	purpose	78.0	london	11.0	email	57.0
23	concern	133.0	section	47.0	united states	6.0	believe	58.0	policy	47.0	united states	6.0	believe	58.0	law	46.0	united states	6.0	believe	58.0	authority	76	purpose	78.0	google	11.0	believe	58.0	law	43.0	uk	3.0	base	38.0	address	75.0	uk	10.0	erase	54.0
24	service	133.0	policy	47.0	california	6.0	concern	52.0	format	45.0	california	6.0	concern	52.0	restriction	46.0	california	6.0	concern	52.0	send	76	user	75.0	economic	11.0	base	55.0	format	42.0	union	3.0	email	38.0	user	75.0	state	10.0	base	52.0
25	update	124.0	accordance	45.0	policy	6.0	erase	52.0	accordance	45.0	policy	6.0	erase	52.0	accordance	45.0	policy	6.0	erase	52.0	hold	73	consent	67.0	area	11.0	erase	55.0	circumstance	40.0	efta states	3.0	remove	37.0	consent	67.0	union	10.0	include	52.0
26	authority	116.0	restriction	45.0	doubleugames	6.0	obtain	49.0	restriction	45.0	doubleugames	6.0	obtain	49.0	erasure	44.0	doubleugames	6.0	obtain	49.0	receive	70	controller	63.0	london	11.0	concern	53.0	ground	40.0	barbara strozzilaan	3.0	concern	36.0	controller	62.0	kingdom	10.0	concern	49.0
27	copy	110.0	erasure	44.0	twitter	6.0	include	47.0	erasure	44.0	twitter	6.0	include	47.0	format	44.0	twitter	6.0	include	47.0	correct	70	section	61.0	eea	10.0	include	53.0	purpose	40.0	san francisco	3.0	erase	35.0	section	61.0	ltd	10.0	follow	48.0
28	ask	104.0	ground	43.0	duolingo	6.0	base	46.0	circumstance	42.0	duolingo	6.0	base	46.0	circumstance	42.0	duolingo	6.0	base	46.0	wish	67	contact	59.0	uk	10.0	obtain	49.0	restriction	38.0	zuuks games	3.0	follow	32.0	contact	59.0	customer	9.0	lodge	47.0
29	restrict	101.0	circumstance	42.0	state	5.0	remove	45.0	ground	42.0	state	5.0	remove	45.0	ground	42.0	state	5.0	remove	45.0	gdpr	67	law	58.0	union	10.0	follow	48.0	erasure	37.0	privacy shield	3.0	relate	30.0	law	58.0	supervisory	9.0	remove	46.0
30	hold	101.0	purpose	41.0	switzerland	5.0	relate	43.0	purpose	41.0	switzerland	5.0	relate	43.0	purpose	41.0	switzerland	5.0	relate	43.0	change	63	marketing	58.0	kingdom	10.0	remove	46.0	interest	37.0	uber	3.0	obtain	30.0	marketing	58.0	member	8.0	relate	42.0
31	address	93.0	address	40.0	information commissioner	5.0	follow	43.0	address	40.0	information commissioner	5.0	follow	43.0	address	40.0	information commissioner	5.0	follow	43.0	restrict	61	format	56.0	california	10.0	relate	43.0	policy	34.0	california	3.0	store	29.0	machine	53.0	google	8.0	obtain	41.0
32	certain	90.0	way	39.0	terms	4.0	rectify	37.0	way	39.0	terms	4.0	rectify	37.0	way	39.0	terms	4.0	rectify	37.0	update	60	machine	53.0	ltd	10.0	rectify	43.0	article	33.0	privacy statement	3.0	lodge	29.0	portability	52.0	states	8.0	review	37.0
33	regard	90.0	interest	39.0	member state	4.0	withdraw	36.0	interest	39.0	member state	4.0	withdraw	36.0	interest	38.0	member state	4.0	withdraw	36.0	want	60	portability	52.0	services	10.0	modify	38.0	way	33.0	personal information	3.0	share	29.0	child	52.0	llc	8.0	modify	37.0
34	exercise	87.0	rectification	34.0	netherlands	4.0	write	36.0	mail	34.0	netherlands	4.0	write	36.0	rectification	34.0	netherlands	4.0	write	36.0	consent	60	child	52.0	ico	9.0	review	37.0	age	32.0	twitter international company	3.0	require	28.0	practice	50.0	california	8.0	rectify	33.0
35	lodge	85.0	article	33.0	data protection supervisory authority	4.0	store	33.0	article	33.0	data protection supervisory authority	4.0	store	33.0	article	33.0	data protection supervisory authority	4.0	store	33.0	format	59	restriction	50.0	supervisory	9.0	withdraw	36.0	party	31.0	european union	3.0	withdraw	27.0	restriction	49.0	center	8.0	store	33.0
36	supervisory	84.0	data portability	33.0	facebook	4.0	share	33.0	data portability	33.0	facebook	4.0	share	33.0	data portability	33.0	facebook	4.0	share	33.0	concern	57	practice	50.0	dpo	8.0	write	36.0	privacy policy	31.0	platform	3.0	review	26.0	interest	49.0	services	7.0	share	33.0
37	send	84.0	data	33.0	llc	4.0	require	31.0	data	33.0	llc	4.0	require	31.0	data	33.0	llc	4.0	require	31.0	believe	57	interest	49.0	member	8.0	store	33.0	deletion	31.0	privacy center	3.0	write	25.0	erasure	48.0	twitter	7.0	write	33.0
38	setting	83.0	deletion	33.0	webmartgroup	4.0	modify	30.0	rectification	33.0	webmartgroup	4.0	modify	30.0	deletion	33.0	webmartgroup	4.0	modify	30.0	like	56	erasure	48.0	states	8.0	share	33.0	address	30.0	singapore	2.0	submit	23.0	accordance	45.0	ico	6.0	withdraw	31.0
39	change	80.0	party	32.0	eu member state	4.0	review	29.0	deletion	33.0	eu member state	4.0	review	29.0	party	32.0	eu member state	4.0	review	29.0	user	52	detail	48.0	llc	8.0	require	31.0	data portability	30.0	privacy	2.0	know	22.0	detail	44.0	inc	6.0	require	29.0
40	receive	78.0	age	32.0	services	4.0	submit	28.0	party	32.0	services	4.0	submit	28.0	mail	32.0	services	4.0	submit	28.0	child	48	accordance	45.0	center	8.0	submit	28.0	data	30.0	advertising demand partner	2.0	log	20.0	format	43.0	inc.	6.0	transmit	27.0
41	gdpr	76.0	privacy policy	31.0	privacy shield	4.0	transmit	28.0	age	32.0	privacy shield	4.0	transmit	28.0	age	32.0	privacy shield	4.0	transmit	28.0	erase	47	party	43.0	uber	8.0	transmit	28.0	marketing purpose	29.0	publisher partner	2.0	need	20.0	party	43.0	commissioner	6.0	know	26.0
42	user	76.0	mail	30.0	google	4.0	limit	26.0	privacy policy	31.0	google	4.0	limit	26.0	privacy policy	31.0	google	4.0	limit	26.0	data protection officer	45	rectification	43.0	art	7.0	edit	27.0	rectification	27.0	paris france	2.0	transmit	20.0	circumstance	42.0	dpo	6.0	submit	25.0
43	purpose	75.0	controller	29.0	dingtone	4.0	know	26.0	controller	29.0	dingtone	4.0	know	26.0	controller	29.0	dingtone	4.0	know	26.0	erasure	44	comment	43.0	inc	6.0	limit	26.0	basis	27.0	hn amsterdam	2.0	modify	20.0	rectification	42.0	eea	5.0	limit	24.0
44	consent	71.0	marketing purpose	29.0	email	3.0	log	24.0	marketing purpose	29.0	email	3.0	log	24.0	marketing purpose	29.0	email	3.0	log	24.0	accordance	43	circumstance	42.0	europe	6.0	know	26.0	case	27.0	w 44th street new york ny	2.0	rectify	19.0	ground	42.0	terms	5.0	log	24.0
45	wish	69.0	website	29.0	information commissioners office	3.0	opt	24.0	website	29.0	information commissioners office	3.0	opt	24.0	website	29.0	information commissioners office	3.0	opt	24.0	purpose	42	ground	42.0	inc.	6.0	opt	25.0	privacy	27.0	interactive	2.0	let	18.0	comment	42.0	commissioners	5.0	feel	23.0
46	legal	68.0	basis	27.0	uk	3.0	feel	23.0	basis	28.0	uk	3.0	feel	23.0	basis	27.0	uk	3.0	feel	23.0	policy	42	deletion	41.0	facebook	6.0	log	24.0	controller	26.0	usa	2.0	limit	17.0	deletion	41.0	switzerland	5.0	need	22.0
47	make	67.0	case	27.0	union	3.0	need	22.0	case	27.0	union	3.0	need	22.0	case	27.0	union	3.0	need	22.0	address	42	way	39.0	commissioner	6.0	feel	23.0	website	26.0	thomson reuters	2.0	resolve	17.0	way	38.0	netherlands	5.0	opt	22.0
48	collect	66.0	privacy	27.0	jaumo	3.0	reach	22.0	privacy	27.0	jaumo	3.0	reach	22.0	privacy	27.0	jaumo	3.0	reach	22.0	law	41	mail	38.0	legal	6.0	need	22.0	setting	26.0	uk limited	2.0	describe	16.0	support	38.0	san	5.0	edit	21.0
49	want	63.0	setting	27.0	lingodeer	3.0	resolve	22.0	setting	27.0	lingodeer	3.0	resolve	22.0	setting	27.0	lingodeer	3.0	resolve	22.0	article	39	support	38.0	doubleugames	6.0	reach	22.0	app	26.0	professional	2.0	stop	14.0	page	36.0	reuters	5.0	stop	21.0
50	section	63.0	app	27.0	u.s.-based	3.0	describe	21.0	app	27.0	u.s.-based	3.0	describe	21.0	app	27.0	u.s.-based	3.0	describe	21.0	collect	39	page	36.0	duolingo	6.0	resolve	22.0	mail	24.0	south colonnade	2.0	note	14.0	app	35.0	thomson	5.0	describe	21.0
51	controller	63.0	detail	25.0	efta states	3.0	find	20.0	detail	25.0	efta states	3.0	find	20.0	detail	25.0	efta states	3.0	find	20.0	remove	37	app	35.0	terms	5.0	stop	21.0	account setting	23.0	-emailor	2.0	opt	14.0	mail	34.0	francisco	5.0	apply	20.0
52	officer	63.0	account setting	23.0	barbara strozzilaan	3.0	visit	20.0	account setting	23.0	barbara strozzilaan	3.0	visit	20.0	account setting	23.0	barbara strozzilaan	3.0	visit	20.0	interest	37	website	35.0	commissioners	5.0	describe	21.0	update	21.0	personal data	2.0	visit	14.0	website	34.0	facebook	5.0	resolve	20.0
53	law	61.0	object	22.0	tandem	3.0	transfer	19.0	object	22.0	tandem	3.0	transfer	19.0	object	22.0	tandem	3.0	transfer	19.0	datum concern	36	update	34.0	account	5.0	apply	20.0	collection	21.0	-urlor	2.0	transfer	13.0	article	33.0	department	5.0	transfer	19.0
54	format	60.0	update	22.0	game	3.0	let	19.0	update	22.0	game	3.0	let	19.0	update	22.0	game	3.0	let	19.0	obtain	36	article	33.0	switzerland	5.0	find	20.0	practice	21.0	supervisory authority	2.0	learn	13.0	update	33.0	shield	5.0	let	19.0
55	like	57.0	comment	22.0	thomson reuters	3.0	note	18.0	comment	22.0	thomson reuters	3.0	note	18.0	comment	22.0	thomson reuters	3.0	note	18.0	way	35	age	33.0	netherlands	5.0	visit	20.0	relation	20.0	privacy settings	2.0	retain	13.0	profile	33.0	ooo	5.0	note	18.0
56	believe	57.0	order	22.0	-emailor	3.0	edit	16.0	order	22.0	-emailor	3.0	edit	16.0	order	22.0	-emailor	3.0	edit	16.0	section	35	profile	32.0	san	5.0	transfer	19.0	situation	20.0	rooster teeth productions llc	2.0	entitle	12.0	age	33.0	uber	5.0	visit	18.0
57	marketing	56.0	contact detail	22.0	san francisco	3.0	complain	16.0	contact detail	22.0	san francisco	3.0	complain	16.0	contact detail	22.0	san francisco	3.0	complain	16.0	data portability	33	officer	31.0	reuters	5.0	let	19.0	application	20.0	e 51st st austin tx	2.0	override	12.0	collection	28.0	section	5.0	learn	15.0
58	mail	56.0	practice	22.0	privacy notice	3.0	learn	15.0	practice	22.0	privacy notice	3.0	learn	15.0	practice	22.0	privacy notice	3.0	learn	15.0	rectification	32	collection	28.0	thomson	5.0	note	18.0	order	19.0	legal department	2.0	prevent	12.0	case	28.0	legal	5.0	override	15.0
59	article	55.0	situation	21.0	zuuks games	3.0	override	15.0	situation	21.0	zuuks games	3.0	override	15.0	situation	21.0	zuuks games	3.0	override	15.0	restriction	32	case	28.0	francisco	5.0	complain	16.0	privacy practice	19.0	belarus minsk	2.0	verify	11.0	basis	27.0	international	5.0	prevent	14.0
60	erase	55.0	correction	21.0	tantan	3.0	inform	15.0	correction	21.0	tantan	3.0	inform	15.0	correction	21.0	tantan	3.0	inform	15.0	e-mail	32	basis	27.0	company	5.0	learn	15.0	-url-	18.0	doubleugames	2.0	enable	11.0	game	25.0	platform	5.0	find	14.0
61	readable	54.0	collection	21.0	medium	3.0	stop	14.0	collection	21.0	medium	3.0	stop	14.0	collection	21.0	medium	3.0	stop	14.0	party	31	game	25.0	department	5.0	override	15.0	data protection authority	18.0	irish data protection commission	2.0	feel	11.0	officer	25.0	europe	5.0	retain	14.0
62	legitimate	54.0	email address	21.0	supervisory authority	3.0	prevent	14.0	email address	21.0	supervisory authority	3.0	prevent	14.0	email address	21.0	supervisory authority	3.0	prevent	14.0	circumstance	31	correction	25.0	shield	5.0	inform	15.0	correction	18.0	yumobi tekhnolodzhi ooo	2.0	apply	11.0	correction	25.0	service	4.0	inform	13.0
63	erasure	53.0	relation	20.0	amino	3.0	apply	14.0	relation	20.0	amino	3.0	apply	14.0	relation	20.0	amino	3.0	apply	14.0	age	31	application	24.0	ooo	5.0	prevent	14.0	email address	18.0	yumobi tekhnolodzhi ooo support	2.0	inform	11.0	application	24.0	advertising	4.0	address	13.0
64	machine	53.0	reason	20.0	nekki limited	3.0	retain	14.0	reason	20.0	nekki limited	3.0	retain	14.0	reason	20.0	nekki limited	3.0	retain	14.0	share	30	object	23.0	section	5.0	retain	14.0	data protection officer	18.0	privacy policy administrator	2.0	accord	10.0	object	23.0	paris	4.0	view	13.0
65	inaccurate	53.0	application	20.0	privacy statement	3.0	set	13.0	application	20.0	privacy statement	3.0	set	13.0	application	20.0	privacy statement	3.0	set	13.0	write	30	e	23.0	international	5.0	accord	13.0	data controller	18.0	section	2.0	set	10.0	order	23.0	ny	4.0	demand	12.0
66	portability	51.0	parent	19.0	support center	3.0	address	13.0	data protection authority	19.0	support center	3.0	address	13.0	parent	19.0	support center	3.0	address	13.0	privacy	29	order	22.0	platform	5.0	set	13.0	contact detail	18.0	bdsg	2.0	choose	10.0	situation	21.0	administrator	4.0	entitle	12.0
67	child	51.0	contact information	19.0	periscope	3.0	demand	12.0	parent	19.0	periscope	3.0	demand	12.0	contact information	19.0	periscope	3.0	accord	12.0	modify	28	situation	21.0	homa	5.0	address	13.0	addition	17.0	faubourg saint	2.0	find	10.0	change	21.0	usa	4.0	set	12.0
68	applicable	50.0	data controller	19.0	twitter international company	3.0	accord	12.0	contact information	19.0	twitter international company	3.0	accord	12.0	data controller	19.0	twitter international company	3.0	demand	12.0	controller	28	change	21.0	service	4.0	view	13.0	claim	17.0	homa	2.0	associate	10.0	form	21.0	statement	4.0	enable	12.0
69	restriction	50.0	privacy practice	19.0	headspace	3.0	entitle	12.0	data controller	19.0	headspace	3.0	entitle	12.0	privacy practice	19.0	headspace	3.0	entitle	12.0	rectify	27	form	21.0	advertising	4.0	demand	12.0	detail	17.0	sega europe limited customer services	2.0	consider	10.0	relation	20.0	notice	4.0	amend	12.0
70	practice	50.0	-url-	18.0	homa	3.0	enable	12.0	privacy practice	19.0	homa	3.0	enable	12.0	-url-	18.0	homa	3.0	enable	12.0	basis	27	relation	20.0	paris	4.0	entitle	12.0	reason	17.0	great west road brentford middlesex tw8	2.0	disclose	10.0	reason	20.0	webmartgroup	4.0	associate	12.0
71	obtain	49.0	data protection authority	18.0	platform	3.0	associate	12.0	-url-	18.0	platform	3.0	associate	12.0	data protection authority	18.0	platform	3.0	associate	12.0	transmit	27	reason	20.0	ny	4.0	enable	12.0	parent	17.0	mortimer street london w1 t	2.0	explain	10.0	-url-	19.0	account	4.0	accord	11.0
72	include	49.0	change	18.0	contact	3.0	carry	11.0	change	18.0	contact	3.0	carry	11.0	change	18.0	contact	3.0	carry	11.0	request access	27	-url-	19.0	administrator	4.0	amend	12.0	comment	17.0	data privacy management grci law limited	2.0	give	9.0	subject	19.0	company	4.0	carry	11.0
73	support	49.0	data protection officer	18.0	playdemic	3.0	verify	11.0	data protection officer	18.0	playdemic	3.0	verify	11.0	data protection officer	18.0	playdemic	3.0	verify	11.0	app	27	subject	19.0	game	4.0	associate	12.0	question comment	17.0	boyne tower bull ring lagavooren drogheda co	2.0	permit	9.0	obligation	19.0	doubleugames	4.0	verify	11.0
74	direct	46.0	addition	17.0	tgtg	3.0	permit	11.0	addition	17.0	tgtg	3.0	permit	11.0	addition	17.0	tgtg	3.0	permit	11.0	withdraw	26	obligation	19.0	usa	4.0	carry	11.0	message	16.0	governance europe	2.0	allege	9.0	device	19.0	tekhnolodzhi	4.0	reach	11.0
75	remove	46.0	claim	17.0	privacy center	3.0	consider	11.0	claim	17.0	privacy center	3.0	consider	11.0	claim	17.0	privacy center	3.0	consider	11.0	submit	26	device	19.0	statement	4.0	verify	11.0	accuracy	15.0	head	2.0	agree	9.0	parent	19.0	yumobi	4.0	consider	11.0
76	accordance	45.0	content	17.0	singapore	2.0	choose	11.0	content	17.0	singapore	2.0	choose	11.0	content	17.0	singapore	2.0	choose	11.0	website	26	parent	19.0	notice	4.0	permit	11.0	content	15.0	spotify	2.0	carry	9.0	addition	18.0	lane	4.0	choose	11.0
77	follow	45.0	suggestion	17.0	livu	2.0	control	11.0	suggestion	17.0	livu	2.0	control	11.0	suggestion	17.0	livu	2.0	control	11.0	limit	25	addition	18.0	webmartgroup	4.0	consider	11.0	change	15.0	spotify usa inc	2.0	view	9.0	accuracy	17.0	homa	4.0	complete	11.0
78	url	45.0	marketing	17.0	customer	2.0	locate	11.0	marketing	17.0	customer	2.0	locate	11.0	marketing	17.0	customer	2.0	locate	11.0	question regard	25	content	18.0	icbc	4.0	choose	11.0	obligation	15.0	privacy office	2.0	demand	8.0	claim	17.0	contact	4.0	locate	11.0
79	rectify	44.0	question comment	17.0	google analytics	2.0	register	11.0	question comment	17.0	google analytics	2.0	register	11.0	question comment	17.0	google analytics	2.0	register	11.0	marketing purpose	25	accuracy	17.0	tekhnolodzhi	4.0	control	11.0	game	15.0	suntec tower	1.0	automate	8.0	content	17.0	spotify	4.0	disclose	11.0
80	base	44.0	delay	16.0	advertising demand partner	2.0	disclose	11.0	delay	16.0	advertising demand partner	2.0	disclose	11.0	delay	16.0	advertising demand partner	2.0	disclose	11.0	know	25	claim	17.0	yumobi	4.0	complete	11.0	marketing	15.0	temasek	1.0	comply	8.0	suggestion	17.0	email	3.0	explain	11.0
81	comment	43.0	accuracy	16.0	publisher partner	2.0	explain	11.0	accuracy	16.0	publisher partner	2.0	explain	11.0	accuracy	16.0	publisher partner	2.0	explain	11.0	store	24	suggestion	17.0	dingtone	4.0	locate	11.0	delay	14.0	para	1.0	infringe	8.0	delay	16.0	tower	3.0	add	10.0
82	circumstance	42.0	message	16.0	paris france	2.0	give	10.0	message	16.0	paris france	2.0	give	10.0	message	16.0	paris france	2.0	give	10.0	data protection authority	24	cookie	17.0	apple	4.0	register	11.0	object	14.0	lingodeer	1.0	register	8.0	issue	16.0	analytics	3.0	give	10.0
83	rectification	41.0	profiling	16.0	hn amsterdam	2.0	comply	10.0	profiling	16.0	hn amsterdam	2.0	comply	10.0	page	15.0	hn amsterdam	2.0	comply	10.0	log	23	delay	16.0	lane	4.0	disclose	11.0	device	14.0	designated countriemay	1.0	post	8.0	cookie	16.0	co	3.0	continue	10.0
84	subject	41.0	page	15.0	support service	2.0	refer	10.0	page	15.0	support service	2.0	refer	10.0	obligation	15.0	support service	2.0	refer	10.0	account setting	23	issue	16.0	contact	4.0	explain	11.0	page	14.0	freedom circle	1.0	respond	8.0	message	16.0	france	3.0	comply	10.0
85	structured	40.0	obligation	15.0	w 44th street new york ny	2.0	respond	10.0	obligation	15.0	w 44th street new york ny	2.0	respond	10.0	game	15.0	w 44th street new york ny	2.0	respond	10.0	setting	23	query	16.0	tgtg	4.0	add	10.0	art	13.0	santa clara	1.0	allow	8.0	contract	15.0	amsterdam	3.0	manage	10.0
86	deletion	40.0	game	15.0	interactive	2.0	view	10.0	game	15.0	interactive	2.0	view	10.0	profiling	15.0	interactive	2.0	view	10.0	include	23	message	16.0	spotify	4.0	give	10.0	instruction	13.0	metro	1.0	state	7.0	customer	15.0	strozzilaan	3.0	permit	10.0
87	relate	39.0	art	14.0	profile	2.0	allege	9.0	art	14.0	profile	2.0	allege	9.0	art	14.0	profile	2.0	allege	9.0	data	22	contract	15.0	email	3.0	continue	10.0	portability	13.0	metros privacy officer	1.0	notify	7.0	instruction	15.0	barbara	3.0	control	10.0
88	review	39.0	query	14.0	usa	2.0	file	9.0	query	14.0	usa	2.0	file	9.0	query	14.0	usa	2.0	file	9.0	ground	22	customer	15.0	tower	3.0	comply	10.0	respect	13.0	metro customer service	1.0	continue	7.0	company	15.0	commission	3.0	register	10.0
