sentence	hasAccess	isFalse	rightVerbs	rightNouns	accessVerbs	accessNouns
We remind European users that they have a right to lodge a complaint with a European Data Protection Supervisor .			NaN	NaN	NaN	NaN
How Can I Lodge a Complaint ?			NaN	NaN	NaN	NaN
We are committed to investigating and resolving complaints about our collection or use of your personal information .			NaN	NaN	NaN	NaN
To make a complaint , contact us at en_dataprotection@trip.com .			NaN	NaN	NaN	NaN
You also have the right to lodge a complaint with a supervisory authority about our processing of your personal data ( for example for Berlin at the Berliner Beauftragte fr Datenschutz und Informationsfreiheit , email : mailbox@datenschutz-berlin.de ) .			['lodge']	['a complaint', 'the right']	NaN	['a supervisory authority']
If you do not agree with the way we have processed your data or responded to your concerns , an alternative is to submit a complaint to a Data Protection Supervisory Authority .			NaN	NaN	NaN	NaN
Users in the EU also have the right to file a complaint relating to Uber 's handling of your personal information with the Autoriteit Persoonsgegevens , the Dutch Data Protection Authority .			NaN	NaN	NaN	NaN
The right to complain to a data protection authority about our collection and use of your personal information .			NaN	NaN	NaN	NaN
You always have the right to lodge a complaint with the relevant authority in particular where you live , work or where an alleged infringement of the GDPR has occurred .			['lodge']	['a complaint', 'the right']	NaN	['the relevant authority']
Right to Make Complaint : if you consider that our processing of your personal data infringes data protection laws , you have a legal right to lodge a complaint with a supervisory authority responsible for data protection .			['make', 'lodge']	['complaint', 'a complaint', 'a legal right']	NaN	['a supervisory authority']
lodge a complaint with national data protection authorities regarding our processing of your personal data .			NaN	NaN	NaN	NaN
Contacting Us and Making a Complaint			NaN	NaN	NaN	NaN
If you are not satisfied with our response or you believe our use of your information does not comply with data protection law , you can make a complaint to the relevant privacy regulator .			['make']	['a complaint']	NaN	['the relevant privacy regulator']
You have the right to lodge a complaint with data protection regulators .			NaN	NaN	NaN	NaN
In addition to the above-mentioned rights , you also have the right to lodge a complaint with a competent supervisory authority subject to applicable law .			['lodge']	['a complaint', 'the above-mentioned rights', 'the right']	NaN	['a competent supervisory authority']
If you wish to raise a concern about our use of your information ( and without prejudice to any other rights you may have ) , you have the right to do so with your local supervisory authority or Twitter International Company  s lead supervisory authority , the Irish Data Protection Commission			NaN	NaN	NaN	NaN
If you have a Privacy Shield-related complaint , please contact us here			NaN	NaN	NaN	NaN
As part of our participation in Privacy Shield , if you have a dispute with us about our adherence to the Principles , we will seek to resolve it through our internal complaint resolution process , alternatively through the independent dispute resolution body JAMS , and under certain conditions , through the Privacy Shield arbitration process .			NaN	NaN	NaN	NaN
Accountability : In certain countries , including in the European Union , you have a right to lodge a complaint with the appropriate data protection authority if you have concerns about how we process your personal information			NaN	NaN	NaN	NaN
? Right to lodge a complaint with a supervisory authority			NaN	NaN	NaN	NaN
If you are unsatisfied with the way we treat your Personal Data , you may reach out to us at all times to solve the issue			NaN	NaN	NaN	NaN
However , you always have the right to lodge a complaint with a supervisory authority .			['lodge']	['a complaint', 'the right']	NaN	['a supervisory authority']
You have a right to lodge a complaint with your local data protection supervisory authority ( i.e. , your place of habitual residence , place or work or place of alleged infringement ) at any time .			NaN	NaN	NaN	NaN
We ask that you please attempt to resolve any issues with us before you contact your local supervisory authority			NaN	NaN	NaN	NaN
We hope to promptly resolve any complaint brought to our attention , however if you feel that your complaint has not been adequately resolved , you may always contact your local data protection supervisory authority , a list of which is available here : edpb.europa.eu/about-edpb/board/members_en .			NaN	NaN	NaN	NaN
You may also have the right to make a GDPR complaint to the relevant Supervisory Authority			['make']	['a gdpr complaint', 'the right']	NaN	['the relevant supervisory authority']
If you do not receive timely acknowledgement of your complaint , or if your complaint is not satisfactorily addressed , please visit -URL- for more information and to file a complaint			NaN	NaN	NaN	NaN
The services of BBB EU PRIVACY SHIELD are provided at no cost to you .			NaN	NaN	NaN	NaN
the existence of a right to lodge a complaint with a supervisory authority ;			NaN	NaN	NaN	NaN
18 Right to lodge a complaint with a supervisory authority			NaN	NaN	NaN	NaN
Without prejudice to any other administrative or judicial remedy that may be available to you , you have the right to lodge a complaint with a supervisory authority , in particular an authority in the Member State of your residence , your place of work or the place of the alleged infringement if you have reason to believe that your personal data is processed in violation of the GDPR .			['lodge']	['a complaint', 'the right']	NaN	['a supervisory authority']
You also have a right to lodge a complaint with the supervisory authority .			['lodge']	['a complaint', 'a right']	NaN	['the supervisory authority']
You have the right to lodge a complaint with our regulator , who is the Information Commissioner 's Office in the UK			['lodge']	['a complaint', 'the right']	NaN	['our regulator']
You can contact them in the following ways :			['contact']	NaN	NaN	['the following ways']
If applicable , you may also make a complaint to the data protection supervisory authority in the country where you are based .			NaN	NaN	NaN	NaN
When submitting a complaint , please provide a brief description of nature of your complaint and the specific services to which your complaint relates .			NaN	NaN	NaN	NaN
If you have a concern about our processing of personal data that we are not able to resolve , you have the right to lodge a complaint with the data privacy authority where you reside .			NaN	NaN	NaN	NaN
You may contact us about any question or complaint regarding adherence to the Principles as indicated in the Contact Us ? ? section above			NaN	NaN	NaN	NaN
Lodge a complaint with the relevant data protection supervisory authority .			NaN	NaN	NaN	NaN
If you believe that the processing of your personal data constitutes an infringement of the provisions of the GDPR , you have the right to lodge a complaint with a supervisory authority in accordance with Article 77 GDPR .			['lodge']	['a complaint', 'the right']	NaN	['a supervisory authority']
In certain countries , including in the European Union , you have a right to lodge a complaint with the appropriate data protection authority if you have concerns about how we process your personal information .			NaN	NaN	NaN	NaN
You also have the right to lodge a complaint with a supervisory authority .			['lodge']	['a complaint', 'the right']	NaN	['a supervisory authority']
You have the right to complain to a data protection authorityabout our collection and use of your personal information which is to be in Huuuges case Cthe leading protection authority is Polish President of the Office ofData Protection			NaN	NaN	NaN	NaN
Platonova 20b/112-1 E-mail : info@saygames.by If you wish to make a complaint over the processing of your personal data , you have the right to lodge a complaint to the relevant supervisory authority			NaN	NaN	NaN	NaN
the right to lodge a complaint with the supervisory authority			NaN	NaN	NaN	NaN
However , you do have the right to contact the relevant supervisory authority directly			NaN	NaN	NaN	NaN
You have the right to lodge a complaint with the ICO			['lodge']	['a complaint', 'the right']	NaN	['the ico']
Make a complaint to a Supervisory Authority If you are unhappy with the way we are processing your personal data , please let us know by contacting us via the support services			['make', 'contact']	['a complaint']	NaN	['a supervisory authority', 'the support services']
Right to lodge a complaint You have the right to lodge a complaint before the data protection supervisory authority : Information Commissioners Office - ICO Wycliffe House , Water Lane , Wilmslow SK9 5AF , Cheshire			NaN	NaN	NaN	NaN
Lodging Complaints You have the right to lodge complaints about the data processing activities carried out by TGTG before the competent data protection authorities			NaN	NaN	NaN	NaN
In the event that you are not satisfied with our processing of your personal data , you have the right to lodge a complaint with the relevant supervisory authority , which is the Information Commissioner 's Office ( ICO ) in the UK , at any time			['lodge']	['a complaint', 'the right']	NaN	['the relevant supervisory authority']
You may at any time refer your complaint to the relevant regulator in your jurisdiction if you are unsatisfied with a reply received from us			NaN	NaN	NaN	NaN
Further , you have a right to lodge a complaint with a competent data protection supervisory authority ( Article 77 GDPR in conjunction with applicable local law )			NaN	NaN	NaN	NaN
If you feel that an issue has not properly been resolved , you also have the right to lodge a complaint with the supervisory authority ICO : -URL-			['lodge']	['a complaint', 'the right']	NaN	['the supervisory authority']
If you are unhappy with the way we are using your personal data you can also contact and are free to lodge a complaint with the Swedish Data Protection Authority ( Datainspektionen ) or your local Data Protection Authority			NaN	NaN	NaN	NaN
