	KeyBert	KeyBert_Freq	TextRank_NOUN	TextRank_NOUN_Freq	TextRank_PROPN	TextRank_PROPN_Freq	TextRank_VERB	TextRank_VERB_Freq	SingleRank_NOUN	SingleRank_NOUN_Freq	SingleRank_PROPN	SingleRank_PROPN_Freq	SingleRank_VERB	SingleRank_VERB_Freq	PositionRank_NOUN	PositionRank_NOUN_Freq	PositionRank_PROPN	PositionRank_PROPN_Freq	PositionRank_VERB	PositionRank_VERB_Freq	MultipartiteRank	MultipartiteRank_Freq	Yake_NOUN	Yake_NOUN_Freq	Yake_PROPN	Yake_PROPN_Freq	Yake_VERB	Yake_VERB_Freq	sCAKE_NOUN	sCAKE_NOUN_Freq	sCAKE_PROPN	sCAKE_PROPN_Freq	sCAKE_VERB	sCAKE_VERB_Freq	SGRank_NOUN	SGRank_NOUN_Freq	SGRank_PROPN	SGRank_PROPN_Freq	SGRank_VERB	SGRank_VERB_Freq
27	like	36	question comment	17.0	platform	3.0	learn	11.0	question comment	17.0	platform	3.0	learn	11.0	question comment	17.0	platform	3.0	learn	11.0	privacy	20.0	website	21.0	francisco	5.0	learn	11.0	way	14.0	south colonnade	2.0	access	8.0	website	20.0	office	5.0	find	10.0
28	support	35	party	15.0	privacy center	3.0	visit	11.0	party	15.0	privacy center	3.0	visit	11.0	party	15.0	privacy center	3.0	visit	11.0	practice	19.0	section	20.0	union	5.0	visit	11.0	application	14.0	-emailor	2.0	feel	8.0	section	20.0	inc	5.0	concern	10.0
29	url	33	way	15.0	email	2.0	share	11.0	way	15.0	email	2.0	share	11.0	way	15.0	email	2.0	share	11.0	concern regard	19.0	e	19.0	office	5.0	share	11.0	contact detail	14.0	-urlor	2.0	submit	7.0	account	18.0	twitter	5.0	let	10.0
30	age	30	query	14.0	paris france	2.0	concern	10.0	query	14.0	paris france	2.0	concern	10.0	query	14.0	paris france	2.0	concern	10.0	reach	18.0	account	19.0	gdpr	5.0	concern	10.0	account	13.0	privacy shield	2.0	set	7.0	suggestion	17.0	europe	5.0	describe	9.0
31	complaint	27	parent	14.0	hn amsterdam	2.0	let	10.0	parent	14.0	hn amsterdam	2.0	let	10.0	parent	14.0	hn amsterdam	2.0	let	10.0	comment	18.0	suggestion	17.0	inc	5.0	let	10.0	-url-	12.0	dpo	2.0	require	7.0	processing	17.0	paris	4.0	remove	9.0
32	write	25	email address	14.0	support service	2.0	submit	9.0	email address	14.0	support service	2.0	describe	9.0	email address	14.0	support service	2.0	describe	9.0	feel	17.0	processing	17.0	twitter	5.0	submit	9.0	parent	12.0	rooster teeth productions llc	2.0	review	6.0	way	15.0	netherlands	4.0	visit	9.0
33	want	25	account	14.0	w 44th street new york ny	2.0	describe	9.0	account	14.0	w 44th street new york ny	2.0	submit	9.0	account	14.0	w 44th street new york ny	2.0	submit	9.0	website	17.0	query	16.0	paris	4.0	describe	9.0	email address	12.0	e 51st st austin tx	2.0	modify	6.0	user	15.0	ny	4.0	access	9.0
34	delete	24	application	14.0	interactive	2.0	remove	9.0	application	14.0	interactive	2.0	remove	9.0	application	14.0	interactive	2.0	remove	9.0	question comment	17.0	controller	16.0	netherlands	4.0	remove	9.0	relation	11.0	legal department	2.0	find	6.0	form	15.0	administrator	4.0	opt	9.0
35	free	22	-url-	12.0	usa	2.0	refer	9.0	-url-	12.0	usa	2.0	refer	9.0	-url-	12.0	usa	2.0	refer	9.0	delete	16.0	way	15.0	ny	4.0	refer	9.0	copy	11.0	belarus minsk	2.0	change	6.0	application	15.0	usa	4.0	submit	8.0
36	emailor	22	resident	12.0	uk limited	2.0	opt	9.0	resident	12.0	uk limited	2.0	opt	9.0	resident	12.0	thomson reuters	2.0	opt	9.0	party	15.0	user	15.0	administrator	4.0	access	9.0	inquiry	10.0	ico	2.0	opt	6.0	controller	15.0	reuters	4.0	reach	8.0
37	time	22	copy	12.0	thomson reuters	2.0	direct	8.0	copy	12.0	thomson reuters	2.0	direct	8.0	copy	12.0	uk limited	2.0	direct	8.0	receive	15.0	form	15.0	usa	4.0	opt	9.0	resident	10.0	twitter international company	2.0	refer	6.0	query	14.0	thomson	4.0	set	7.0
38	collect	22	relation	11.0	professional	2.0	access	8.0	relation	11.0	professional	2.0	access	8.0	relation	11.0	professional	2.0	access	8.0	parent	14.0	application	15.0	reuters	4.0	direct	8.0	data controller	10.0	yumobi tekhnolodzhi ooo support	2.0	ask	6.0	parent	14.0	statement	4.0	review	7.0
39	party	21	detail	11.0	south colonnade	2.0	set	7.0	detail	11.0	south colonnade	2.0	set	7.0	detail	11.0	south colonnade	2.0	set	7.0	account	14.0	parent	14.0	thomson	4.0	set	7.0	query	9.0	privacy policy administrator	2.0	post	6.0	marketing	14.0	notice	4.0	require	7.0
40	website	21	contact information	11.0	information	2.0	require	7.0	contact information	11.0	information	2.0	require	7.0	contact information	11.0	information	2.0	require	7.0	application	14.0	marketing	14.0	statement	4.0	review	7.0	guardian	9.0	information commissioner	2.0	obtain	6.0	law	13.0	department	4.0	need	7.0
41	13	20	data controller	11.0	llc	2.0	need	7.0	data controller	11.0	webmartgroup	2.0	need	7.0	data controller	11.0	llc	2.0	need	7.0	complaint	14.0	law	13.0	notice	4.0	require	7.0	suggestion	9.0	faubourg saint	2.0	address	6.0	page	13.0	legal	4.0	modify	6.0
42	feel	19	law	10.0	webmartgroup	2.0	review	6.0	e	10.0	llc	2.0	modify	6.0	law	10.0	webmartgroup	2.0	modify	6.0	privacy practice	14.0	-url-	13.0	personal	4.0	need	7.0	message	9.0	homa	2.0	visit	6.0	-url-	13.0	gdpr	4.0	hesitate	6.0
43	reach	19	user	10.0	alexadra games	2.0	modify	6.0	law	10.0	alexadra games	2.0	review	6.0	user	10.0	alexadra games	2.0	review	6.0	way	13.0	page	13.0	legal	4.0	modify	6.0	user	8.0	sega europe limited customer services	2.0	describe	5.0	security	13.0	platform	4.0	change	6.0
44	account	19	inquiry	10.0	minimum	2.0	hesitate	6.0	user	10.0	minimum	2.0	hesitate	6.0	inquiry	10.0	minimum	2.0	hesitate	6.0	collect	13.0	security	13.0	department	4.0	hesitate	6.0	attn	8.0	great west road brentford middlesex tw8	2.0	unsubscribe	5.0	copy	12.0	tower	3.0	refer	6.0
45	section	19	term	9.0	services	2.0	change	6.0	inquiry	10.0	services	2.0	change	6.0	term	9.0	services	2.0	change	6.0	find	13.0	resident	12.0	platform	4.0	change	6.0	consent	8.0	mortimer street london w1 t	2.0	try	5.0	inquiry	12.0	service	3.0	respond	6.0
46	make	19	guardian	9.0	-emailand	2.0	respond	6.0	term	9.0	-emailand	2.0	respond	6.0	guardian	9.0	-emailand	2.0	respond	6.0	know	13.0	copy	12.0	tower	3.0	respond	6.0	security	8.0	data privacy management grci law limited	2.0	need	5.0	relation	11.0	france	3.0	ask	6.0
47	receive	18	officer	9.0	trustarc	2.0	ask	6.0	guardian	9.0	trustarc	2.0	ask	6.0	officer	9.0	trustarc	2.0	ask	6.0	query	12.0	inquiry	12.0	u.s.-based	3.0	ask	6.0	term	7.0	boyne tower bull ring lagavooren drogheda co	2.0	concern	5.0	resident	11.0	amsterdam	3.0	post	6.0
48	legal	17	floor	9.0	-urlor	2.0	post	6.0	officer	9.0	-urlor	2.0	post	6.0	floor	9.0	-urlor	2.0	post	6.0	copy	12.0	relation	11.0	service	3.0	post	6.0	detail	7.0	governance europe	2.0	give	4.0	number	11.0	strozzilaan	3.0	obtain	6.0
49	suggestion	17	message	9.0	privacy shield	2.0	obtain	6.0	floor	9.0	privacy shield	2.0	obtain	6.0	message	9.0	privacy shield	2.0	obtain	6.0	access	12.0	number	11.0	france	3.0	obtain	6.0	contact information	7.0	head	2.0	note	4.0	term	10.0	barbara	3.0	appoint	5.0
50	access	17	attn	8.0	tantan	2.0	appoint	5.0	message	9.0	tantan	2.0	appoint	5.0	e	8.0	tantan	2.0	appoint	5.0	suggestion	12.0	term	10.0	barbara	3.0	appoint	5.0	law	7.0	spotify usa inc	2.0	reach	4.0	notice	10.0	york	3.0	locate	5.0
51	process	17	consent	8.0	e 51st st austin tx	2.0	locate	5.0	consent	8.0	rooster teeth productions llc	2.0	locate	5.0	attn	8.0	rooster teeth productions llc	2.0	locate	5.0	section	12.0	notice	10.0	strozzilaan	3.0	locate	5.0	access	7.0	privacy office	2.0	view	4.0	guardian	9.0	new	3.0	unsubscribe	5.0
52	customer	16	security	8.0	rooster teeth productions llc	2.0	unsubscribe	5.0	security	8.0	e 51st st austin tx	2.0	unsubscribe	5.0	consent	8.0	e 51st st austin tx	2.0	unsubscribe	5.0	relation	11.0	guardian	9.0	amsterdam	3.0	unsubscribe	5.0	processing	7.0	suntec tower	1.0	mention	4.0	issue	9.0	w	3.0	report	5.0
53	applicable	16	content	7.0	legal department	2.0	welcome	5.0	content	7.0	legal department	2.0	welcome	5.0	security	8.0	legal department	2.0	welcome	5.0	process	11.0	floor	9.0	interactive	3.0	welcome	5.0	mail address	7.0	temasek	1.0	display	4.0	message	9.0	interactive	3.0	view	5.0
54	query	16	access	7.0	personal	2.0	report	5.0	access	7.0	personal	2.0	report	5.0	content	7.0	personal	2.0	report	5.0	data controller	11.0	issue	9.0	w	3.0	report	5.0	floor	7.0	singapore	1.0	respond	4.0	matter	9.0	suite	3.0	display	5.0
55	processing	16	processing	7.0	saygames	2.0	view	5.0	processing	7.0	saygames	2.0	view	5.0	access	7.0	saygames	2.0	view	5.0	post	10.0	message	9.0	new	3.0	view	5.0	notice	7.0	lingodeer	1.0	state	3.0	communication	9.0	south	3.0	try	5.0
56	controller	16	mail address	7.0	belarus minsk	2.0	display	5.0	mail address	7.0	belarus minsk	2.0	display	5.0	processing	7.0	belarus minsk	2.0	display	5.0	law	10.0	matter	9.0	york	3.0	display	5.0	data protection	6.0	designated countriemay	1.0	notify	3.0	customer	8.0	zuuks	3.0	state	4.0
57	law	15	enquiry	7.0	topface	2.0	register	5.0	enquiry	7.0	topface	2.0	register	5.0	mail address	7.0	topface	2.0	register	5.0	learn	10.0	communication	9.0	suite	3.0	register	5.0	basis	6.0	general data protection regulation	1.0	work	3.0	access	8.0	cyprus	3.0	give	4.0
58	user	15	matter	7.0	twitter international company	2.0	try	5.0	attn	7.0	twitter international company	2.0	try	5.0	enquiry	7.0	twitter international company	2.0	try	5.0	contact detail	10.0	customer	8.0	south	3.0	try	5.0	enquiry	6.0	freedom circle	1.0	handle	3.0	collection	8.0	personal	3.0	note	4.0
59	form	15	notice	7.0	yumobi tekhnolodzhi ooo support	2.0	live	5.0	matter	7.0	yumobi tekhnolodzhi ooo support	2.0	live	5.0	matter	7.0	yumobi tekhnolodzhi ooo support	2.0	live	5.0	-emailor	10.0	content	8.0	-emailor	3.0	live	5.0	matter	6.0	santa clara	1.0	head	3.0	consent	8.0	commissioner	3.0	think	4.0
60	application	15	data protection	6.0	privacy policy administrator	2.0	state	4.0	notice	7.0	privacy policy administrator	2.0	state	4.0	notice	7.0	privacy policy administrator	2.0	state	4.0	inquiry	10.0	access	8.0	zuuks	3.0	state	4.0	form	6.0	metro customer service	1.0	limit	3.0	e	7.0	dpo	3.0	mail	4.0
61	additional	14	e	6.0	information commissioner	2.0	give	4.0	data protection	6.0	information commissioner	2.0	give	4.0	data protection	6.0	information commissioner	2.0	give	4.0	let	10.0	collection	8.0	cyprus	3.0	give	4.0	content	6.0	privacy officer	1.0	withdraw	3.0	preference	7.0	st	3.0	list	4.0
62	parent	14	post	6.0	faubourg saint	2.0	note	4.0	post	6.0	faubourg saint	2.0	note	4.0	post	6.0	faubourg saint	2.0	note	4.0	mail	10.0	attn	8.0	commissioner	3.0	note	4.0	order	5.0	twitters data protection officer	1.0	disclose	3.0	floor	7.0	company	3.0	mention	4.0
63	update	14	basis	6.0	homa	2.0	think	4.0	basis	6.0	homa	2.0	think	4.0	basis	6.0	homa	2.0	think	4.0	detail	10.0	consent	8.0	st	3.0	think	4.0	datum use concern	5.0	des petites ecuries c	1.0	contain	3.0	game	7.0	international	3.0	apply	4.0
64	marketing	14	order	6.0	contact	2.0	mail	4.0	order	6.0	contact	2.0	mail	4.0	order	6.0	contact	2.0	mail	4.0	submit	9.0	preference	7.0	saygames	3.0	mail	4.0	issue	5.0	internet privacy policy	1.0	correct	3.0	attn	7.0	centre	3.0	register	4.0
65	direct	14	issue	6.0	great west road brentford middlesex tw8	2.0	list	4.0	issue	6.0	great west road brentford middlesex tw8	2.0	list	4.0	issue	6.0	sega europe limited customer services	2.0	list	4.0	email address	9.0	game	7.0	company	3.0	list	4.0	game	5.0	internet privacy policy administrator	1.0	explain	3.0	app	7.0	lane	3.0	notify	3.0
66	following	14	form	6.0	sega europe limited customer services	2.0	mention	4.0	form	6.0	sega europe limited customer services	2.0	mention	4.0	form	6.0	great west road brentford middlesex tw8	2.0	mention	4.0	refer	9.0	enquiry	7.0	ico	3.0	mention	4.0	writing	5.0	eprivacy gmbh	1.0	prevent	3.0	company	7.0	w1	3.0	work	3.0
67	know	14	page	6.0	mcdonald	2.0	notify	3.0	page	6.0	mcdonald	2.0	notify	3.0	page	6.0	mcdonald	2.0	notify	3.0	visit	9.0	app	7.0	international	3.0	apply	4.0	link	5.0	prof	1.0	list	3.0	content	7.0	homa	3.0	handle	3.0
68	notice	14	datum use concern	5.0	mortimer street london w1 t	2.0	work	3.0	datum use concern	5.0	mortimer street london w1 t	2.0	work	3.0	datum use concern	5.0	mortimer street london w1 t	2.0	work	3.0	message	9.0	company	7.0	centre	3.0	notify	3.0	year	5.0	tap4fun co. ltd	1.0	compromise	3.0	purpose	7.0	contact	3.0	encourage	3.0
69	way	13	office	5.0	boyne tower bull ring lagavooren drogheda co	2.0	handle	3.0	office	5.0	data privacy management grci law limited	2.0	handle	3.0	office	5.0	data privacy management grci law limited	2.0	handle	3.0	share	9.0	cookie	7.0	headspace	3.0	work	3.0	case	5.0	privacy administrator	1.0	inform	3.0	basis	6.0	road	3.0	deal	3.0
70	follow	13	game	5.0	data privacy management grci law limited	2.0	e	3.0	game	5.0	boyne tower bull ring lagavooren drogheda co	2.0	encourage	3.0	game	5.0	boyne tower bull ring lagavooren drogheda co	2.0	encourage	3.0	term	8.0	purpose	7.0	lane	3.0	handle	3.0	event	5.0	chengdu sichuan china	1.0	add	2.0	order	6.0	sega	3.0	head	3.0
71	page	13	writing	5.0	governance europe	2.0	encourage	3.0	writing	5.0	governance europe	2.0	deal	3.0	writing	5.0	governance europe	2.0	deal	3.0	guardian	8.0	post	6.0	w1	3.0	e	3.0	violation	5.0	tianfu	1.0	infringe	2.0	link	6.0	spotify	3.0	remain	3.0
72	security	13	link	5.0	head	2.0	deal	3.0	link	5.0	head	2.0	head	3.0	link	5.0	head	2.0	head	3.0	remove	8.0	basis	6.0	homa	3.0	encourage	3.0	site	5.0	tile inc.	1.0	violate	2.0	feedback	6.0	email	2.0	limit	3.0
73	relate	12	year	5.0	spotify usa inc	2.0	head	3.0	year	5.0	spotify usa inc	2.0	remain	3.0	year	5.0	spotify usa inc	2.0	remain	3.0	resolve	8.0	order	6.0	contact	3.0	deal	3.0	claim	5.0	s el camino real suite	1.0	encourage	2.0	year	6.0	efta	2.0	stop	3.0
74	include	12	case	5.0	privacy office	2.0	remain	3.0	case	5.0	privacy office	2.0	limit	3.0	case	5.0	privacy office	2.0	limit	3.0	user	8.0	link	6.0	sega	3.0	head	3.0	description	5.0	san mateo	1.0	investigate	2.0	enquiry	6.0	area	2.0	withdraw	3.0
75	post	12	event	5.0	suntec tower	1.0	limit	3.0	event	5.0	suntec tower	1.0	withdraw	3.0	event	5.0	suntec tower	1.0	withdraw	3.0	california resident	8.0	feedback	6.0	road	3.0	remain	3.0	respect	5.0	privacy team thomson reuters	1.0	log	2.0	list	6.0	economic	2.0	cover	3.0
76	resident	12	site	5.0	singapore	1.0	withdraw	3.0	violation	5.0	temasek	1.0	cover	3.0	violation	5.0	temasek	1.0	cover	3.0	include	8.0	year	6.0	spotify	3.0	stop	3.0	marketing communication	5.0	canary wharf london	1.0	erase	2.0	mailing	6.0	hn	2.0	disclose	3.0
77	copy	12	violation	5.0	temasek	1.0	cover	3.0	site	5.0	singapore	1.0	disclose	3.0	site	5.0	singapore	1.0	disclose	3.0	consent	8.0	mailing	6.0	email	2.0	limit	3.0	cookie	5.0	statement	1.0	deal	2.0	violation	6.0	social	2.0	contain	3.0
78	inquiry	12	claim	5.0	jagex limited	1.0	disclose	3.0	claim	5.0	jagex limited	1.0	contain	3.0	claim	5.0	jagex limited	1.0	contain	3.0	describe	8.0	list	6.0	economic	2.0	withdraw	3.0	page	5.0	data protection officer thomson reuters	1.0	permit	2.0	cookie	6.0	44th	2.0	correct	3.0
79	immediately	11	description	5.0	lingodeer	1.0	contain	3.0	description	5.0	lingodeer	1.0	correct	3.0	description	5.0	lingodeer	1.0	correct	3.0	security	8.0	violation	6.0	area	2.0	cover	3.0	privacy question	4.0	canary wharf london e14	1.0	open	2.0	post	5.0	internet	2.0	explain	3.0
80	resolve	11	respect	5.0	designated countriemay	1.0	correct	3.0	respect	5.0	designated countriemay	1.0	explain	3.0	respect	5.0	designated countriemay	1.0	explain	3.0	question concern	8.0	team	5.0	efta	2.0	disclose	3.0	regard	4.0	twitch services	1.0	seek	2.0	team	5.0	professional	2.0	prevent	3.0
81	office	11	marketing communication	5.0	general data protection regulation	1.0	explain	3.0	marketing communication	5.0	general data protection regulation	1.0	prevent	3.0	marketing communication	5.0	general data protection regulation	1.0	prevent	3.0	contact information	7.0	dispute	5.0	hn	2.0	contain	3.0	post	4.0	twitch interactive inc.	1.0	arise	2.0	dispute	5.0	wharf	2.0	compromise	3.0
82	number	11	cookie	5.0	freedom circle	1.0	prevent	3.0	cookie	5.0	santa clara	1.0	compromise	3.0	cookie	5.0	santa clara	1.0	compromise	3.0	follow	7.0	phone	5.0	social	2.0	correct	3.0	party dispute resolution provider	4.0	bush street	1.0	occur	2.0	phone	5.0	canary	2.0	inform	3.0
83	street	11	privacy question	4.0	santa clara	1.0	compromise	3.0	privacy question	4.0	freedom circle	1.0	inform	3.0	privacy question	4.0	freedom circle	1.0	inform	3.0	complaint regard	7.0	office	5.0	internet	2.0	base	3.0	charge	4.0	vertigo games sepapaja	1.0	stop	2.0	office	5.0	team	2.0	disable	3.0
84	emailand	11	dpo	4.0	customer	1.0	inform	3.0	dpo	4.0	customer	1.0	disable	3.0	dpo	4.0	customer	1.0	disable	3.0	hold	7.0	subject	5.0	44th	2.0	explain	3.0	office	4.0	tallinn	1.0	appoint	2.0	subject	5.0	colonnade	2.0	protect	3.0
85	games	11	regard	4.0	metro customer service	1.0	disable	3.0	regard	4.0	metro customer service	1.0	protect	3.0	regard	4.0	metro customer service	1.0	protect	3.0	contact detail provide	7.0	writing	5.0	professional	2.0	prevent	3.0	abuse	4.0	estonia	1.0	allow	2.0	writing	5.0	-emailor	2.0	add	2.0
86	share	11	party dispute resolution provider	4.0	privacy officer	1.0	protect	3.0	party dispute resolution provider	4.0	privacy officer	1.0	add	2.0	party dispute resolution provider	4.0	privacy officer	1.0	add	2.0	notice	7.0	case	5.0	team	2.0	act	3.0	file	4.0	information	1.0	publish	2.0	case	5.0	bush	2.0	violate	2.0
