sentence,accessNouns,rightNouns,rightVerbs,accessVerbs,rightObject,accessPrep
you have the right to make a complaint at any time to the information commissioners office ico the uk supervisory authority for data protection issues wwwicoorguk,the information commissioners office,a complaint,nah,nah,,
request access to your personal data commonly known as a data subject access request this enables you to receive a copy of the personal data we hold about you and to check that we are lawfully processing it,nah,nah,nah,nah,,
request erasure of your personal data this enables you to ask us to delete or remove personal data where there is no good reason for us continuing to process it,nah,nah,nah,nah,,
you also have the right to ask us to delete or remove your personal data where you have successfully exercised your right to object to processing see below where we may have processed your information unlawfully or where we are required to erase your personal data to comply with local law,nah,nah,nah,nah,,
object to processing of your personal data where we are relying on a legitimate interest or those of a third party and there is something about your particular situation which makes you want to object to processing on this ground as you feel it impacts on your fundamental rights and freedoms,nah,nah,nah,nah,,
you also have the right to object where we are processing your personal data for direct marketing purposes,nah,nah,nah,nah,,
request restriction of processing your personal data this enables you to ask us to suspend the processing of your personal data in the following scenarios a if you want us to establish the datas accuracy or b you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it,nah,nah,nah,nah,,
182 right to correction if the information we have collected from you is incorrect or incomplete you may immediately request us to correct it in accordance with article 16 of the gdpr,nah,nah,nah,nah,,
183 right to limitation of processing under the conditions of article 18 of the gdpr you may also request that the processing of personal data concerning you be restricted,nah,nah,nah,nah,,
after the restriction your data may only be processed with your consent or for the purpose of asserting exercising or defending rights or for the protection of the rights of another natural or legal person or on grounds of an important public interest of the union or a member state,nah,nah,nah,nah,,
we will inform you before the restriction is lifted,nah,nah,nah,nah,,
1 gdpr applies you can request us to delete your personal data immediately unless there is an exception to the deletion obligation in accordance with article 17 para,nah,nah,nah,nah,,
insofar as the user changes or corrects the information provided by him and thereby deletes old entries these data previously entered by him will be irreversibly and completely deleted,nah,nah,nah,nah,,
an application for correction or deletion is not necessary in this respect,nah,nah,nah,nah,,
notwithstanding this the user has the right at any time to demand the correction of inaccurate data stored about him at jaumo,nah,nah,nah,nah,,
the easiest way for the user is to change his entries himself,nah,nah,nah,nah,,
if the user finally deletes his entire profile and thus terminates his membership with jaumo all data previously entered by him in his profile will be completely deleted,nah,nah,nah,nah,,
excluded from the deletion are the duration of the membership if necessary the reason for the termination of the membership as well as anonymous statistical data about the previous user behaviour,nah,nah,nah,nah,,
irrespective of this the user has the right at any time to request the deletion of all personal data collected by him which is stored about him at jaumo,nah,nah,nah,nah,,
the easiest option for the user is to delete his entries himself even in this case,nah,nah,nah,nah,,
186 right to information if you have exercised your right to correct delete or restrict processing against us we are obliged under article 19 gdpr to inform all recipients of your personal data of this unless the notification is impossible or involves disproportionate effort,nah,nah,nah,nah,,
they also have the right to be informed of the recipients,nah,nah,nah,nah,,
the person responsible shall have the right to be informed of such recipients,nah,nah,nah,nah,,
187 right to data transferability in addition according to article 20 gdpr you have the right to receive personal data concerning you from us in machinereadable format and to transmit the data to another person responsible without obstruction provided that the requirements of article 20 para,nah,nah,nah,nah,,
right of objection you have the right to object at any time to jaumos processing of your personal data in accordance with art,nah,nah,nah,nah,,
email email,nah,nah,nah,nah,,
email privacy jaumocom,nah,nah,nah,nah,,
you may contact the dpo directly by emailing email,nah,nah,nah,nah,,
in the alternative you may email us with regards to queries of any nature in particular to exercise your rights at email,email,your rights,exercise,nah,at,
you can always change or replace your name and avatar within the app settings,the app settings,nah,change ,nah,,your name
you can either exercise your rights by deleting certain features through your device or by emailing us at email to exercise all the other rights,your device,your rights,exercise,nah,through,
lodge a complaint with your national supervisory authority in the eea if you believe that your privacy rights have been breached,your national supervisory authority,a complaint,lodge,nah,with,
please note all requests should be emailed to us at email or sent to us by post,nah,nah,nah,nah,,
parents or guardians that believe that we hold information about their children aged 13 and under may contact us at email,nah,nah,nah,nah,,
feel free to contact us at any time should you have any questions in relation to this privacy policy either via email or by post,nah,nah,nah,nah,,
support team email,nah,nah,nah,nah,,
if you have any question about this policy please send email to support gotokeepcom,nah,nah,nah,nah,,
when using our products and services you can always manage review and update information in your account for instance you can manage your personal information at any time such as your keep id and photo,your account ,nah,update,nah,,
you can export a copy of content in your keep account if you want to back it up or use it with a service outside of keep by sending your request email,your keep account,a copy,nah,nah,,
you can also remove or delete content from your account or entirely delete your whole keep account,your account,nah,delete,nah,,
if any content you can not remove or delete by yourself please kindly reach us email,nah,nah,nah,nah,,
b right to data portability ie,nah,nah,nah,nah,,
you have the right to receive your personal data in a structured commonly used and machinereadable format and have the right to transmit those data to another controller,nah,nah,nah,nah,,
c right to correction if your personal data is not complete or accurate,nah,nah,nah,nah,,
d right to deletion or restriction of your personal data as permitted by law,nah,nah,nah,nah,,
e right to object ie,nah,nah,nah,nah,,
you have the right to object to our processing of your personal data as permitted by law,nah,nah,nah,nah,,
you also have the right to lodge a complaint with a competent data protection supervisory authority in the country in which you reside,a competent data protection supervisory authority,a complaint,lodge,nah,,
where applicable we will delete your personal data upon your request,nah,nah,nah,nah,,
update or to delete the information we have on you,nah,nah,nah,nah,,
whenever made possible you can access update or request deletion of your personal data,nah,nah,nah,nah,,
you have the right to have your information rectified if that information is inaccurate or incomplete,nah,nah,nah,nah,,
the right to object,nah,nah,nah,nah,,
you have the right to object to our processing of your personal data,nah,nah,nah,nah,,
you have the right to request that we restrict the processing of your personal information,nah,nah,nah,nah,,
you have the right to be provided with a copy of the information we have on you in a structured machinereadable and commonly used format,nah,nah,nah,nah,,
you have the right to complain to a data protection authority about our collection and use of your personal data,a data protection authority,nah,complain,nah,,
if you have any questions about this privacy policy please contact us by email email,nah,nah,nah,nah,,
access the personal data we hold about you,nah,nah,nah,nah,,
if you request we will provide you a copy of your personal data in an electronic format,nah,nah,nah,nah,,
you also have the right to correct your data have your data deleted object how we use or share your data and restrict how we use or share your data,nah,nah,nah,nah,,
if you wish to object to this use of your data you can do so by canceling our newsletters in any of the emails we sent,our newsletters,nah,object,cancel,,
you have the right to delete your personal data by sending an email requesting so to email,email,nah,delete,nah,to,
request access to your personal data commonly known as a data subject access request,nah,nah,nah,nah,,
this enables you to receive a copy of the personal data we hold about you and to check that we are lawfully processing it,nah,nah,nah,nah,,
request correction of the personal data that we hold about you,nah,nah,nah,nah,,
you can edit your personal data at any time within the apps profile page,the apps profile page,nah,edit,nah,within,your personal data
this notwithstanding the user has the right at all times to demand the correction of any inaccurate data concerning himher stored with lingodeer,nah,nah,nah,nah,,
this enables you to ask us to delete or remove personal data where there is no good reason for us continuing to process it,nah,nah,nah,nah,,
you may obtain a copy of the personal data held about you that you provide through the site or otherwise request that lingodeer updates make changes or deletes personal information by sending an email to email,email,a copy,nah,nah,to,
if you have any questions or suggestions regarding our privacy policy you can contact lingodeer at the same email address,the same email address,nah,nah,contact,,
you may correct update and delete your registration account,your registration account,nah,"['correct', 'update', 'delete']",nah,,
you may request access to the personal information we hold about you and that we amend or delete it,nah,nah,nah,nah,,
if you have a comment or question about this privacy policy please contact email,email,question,contact,nah,,
you can access or delete your personal data,nah,nah,nah,nah,,
delete data you can ask us to erase or delete all or some of your personal data eg if it is no longer necessary to provide services to you,nah,nah,nah,nah,,
change or correct data you can edit some of your personal data through your account,your account,nah,edit,nah,through,your personal data
object to or limit or restrict use of data you can ask us to stop using all or some of your personal data eg if we have no legal right to keep using it or to limit our use of it eg if your personal data is inaccurate or unlawfully held,nah,nah,nah,nah,,
right to access andor take your data you can asus for a copy of your personal data and can ask for a copy of personal data you provided in machine readable form,nah,nah,nah,nah,,
you may also contact us using the contact information below and we will consider your request in accordance with applicable laws,the contact information,nah,nah,contact,,
where we rely on your consent to process personal data you have the right to withdraw or decline your consent at any time and where we rely on legitimate interests you have the right to object,nah,nah,nah,nah,,
if you have any questions about the lawful bases upon which we collect and use your personal data please contact our data protection officer her,our data protection officer,any questions,nah,nah,,
you can contact us or use other options to resolve any complaints,us,any complaints,nah,contact,,
residents in the designated countriemay also have the right to contact our data protection officer here,our data protection officer,the right,contact,nah,,
if you have any questions about this policy please contact us at email with a copy to email,email,any questions,nah,to,,
if you choose to limit the ways we can use your personal information some or all of the services may not be available to you,nah,nah,nah,nah,,
you may update your account at any time by logging in and changing your profile settings,your account,nah,update,nah,,
if you have any questions about reviewing or modifying your account information please contact us directly at email,email,nah,nah,nah,at,
if you are a parent or guardian of a child and you believe your child has provided us with their personal information on our services please contact us immediately at email,nah,nah,nah,nah,,
if you think there has been unauthorized access to or use of your account please contact us immediately at email,email,access,nah,nah,at,
please contact us at email if you would like to exercise your rights under applicable law,email,your rights,exercise,contact,at,
right to withdraw consent,nah,nah,nah,nah,,
if we rely on consent to process your personal information you have the right to withdraw your consent at any time,nah,nah,nah,nah,,
if you request a copy of your personal information that we hold we will provide you with a copy without undue delay and free of charge except where we are permitted by law to charge a fee,nah,nah,nah,nah,,
right to erasure the right to be forgotten,nah,nah,nah,nah,,
you have the right to restrict our processing your personal information where one of the following applies,nah,nah,nah,nah,,
you have objected to processing pending the verification whether the legitimate grounds of our processing override your rights,nah,nah,nah,nah,,
right to object to processing,nah,nah,nah,nah,,
right to data portability,nah,nah,nah,nah,,
right to lodge a complaint,nah,nah,nah,nah,,
if you believe we have infringed or violated your privacy rights please contact us at email so that we can work to resolve your concerns,email,your privacy rights,violate,nah,at,
you also have a right to lodge a complaint with a competent supervisory authority situated in a member state of your habitual residence place of work or place of alleged infringement,a competent supervisory authority,a complaint,lodge,nah,,
you may reach our data protection officer at email,nah,nah,nah,nah,at,
if you have any questions about this privacy policy or the services please contact us at email with a copy to email,email,any questions,nah,nah,at,
if you do not want livu to store this information you may optout through your account settings in the livu application at any time,your account settings,nah,nah,optout,through,
you control your profile and you can access and modify your profile from the livu application at any time,nah,nah,nah,nah,,
you can remove your data anytime you want,nah,nah,nah,nah,,
if you ask us to delete your account we will use commercially reasonable efforts to remove your data from our servers,nah,nah,nah,nah,,
you can also contact us at service livume to choose exit,service livume,nah,exit,,at,
if you have any questions about this privacy policy please contact us at service livume,service livume,any questions,nah,contact,,
the responsible party in accordance with the general data protection regulation and other national data protection laws of the member states as well as other data protection regulations for the processing of personal data within the scope of the portal is,nah,nah,nah,nah,,
the data protection officer of the responsible party can be reached as follows,nah,nah,nah,nah,,
in accordance with article 21 gdpr and for reasons arising from your particular situation you have the right to object at any time to the processing of the data in accordance with section 11,nah,nah,nah,nah,,
in order to exercise a respective objection the visitor can contact us particulary by email using the email address support lootboyde,the email address,a respective objection,exercise,nah,,
you can contact us via the email address provided,nah,nah,nah,contact,,
in order to exercise a respective objection,nah,nah,nah,nah,,
the visitor can contact us particulary by email using the email address support lootboyde,nah,nah,nah,nah,,
in accordance with article 16 of the gdpr you have the right to correct andor complete your data vis vis the responsible party if the personal data processed concerning you is incorrect or incomplete,nah,nah,nah,nah,,
subject to the following conditions you may pursuant to art,nah,nah,nah,nah,,
18 request that the processing of personal data concerning you be restricted,nah,nah,nah,nah,,
in accordance with article 20 of the gdpr you have the right to receive the personal data concerning you that you have provided to the data controller in a structured current and machinereadable format,the data controller,the right,nah,nah,,
please if you have any questions or suggestions do nt hesitate to contact us at email,email,any questions,nah,contact,at,
if you wish to update or delete your testimonial you can contact us at email,email,nah,"['update','delete']",contact,at,your testimonial
if you would like to discontinue receiving this information you may update your email preferences by using the unsubscribe link found in emails we send to you or at your member profile on our website or by contacting us at email,the unsubscribe link,nah,update,nah,,
you may access modify or delete subject to applicable law the personal information associated with your use of our services at any time by updating your my account information by navigating to mymalwarebytescom signing into your account and updated your personal information,my account information,nah,"['modify','delete']",nah,,
alternatively you may contact us at email,nah,nah,nah,nah,,
if you want us to delete your personal information your forum account or your support account please contact us at email with your request,email,nah,delete,contact,at,
if you have an unresolved privacy or data use concern that we have not addressed satisfactorily please contact our usbased third party dispute resolution provider free of charge at url,nah,nah,nah,nah,,
please contact us 3979 freedom circle 12th floor santa clara ca 95054 or via email at email if you have any questions about our privacy policy,nah,nah,nah,nah,,
how you can access and update such information,nah,nah,nah,nah,,
if you contact our customer support team via feedback email,nah,nah,nah,nah,,
you can review and revise your profile information at any time,nah,nah,nah,nah,,
you should only delete your account if you are certain you never want to restore it,nah,nah,nah,nah,,
if you have questions specifically about data privacy you can contact us using email,email,questions,nah,contact,,
this means that a users data shall only be processed if the user has given his or her legal permission for us to do so,nah,nah,nah,nah,,
you can change your display name and avatar at any time,nah,nah,nah,nah,,
withdraw consent for your processing of data when we do this in accordance with a legitimate interest,nah,nah,nah,nah,,
you can easily delete your data in the settings for your account,the settings,nah,delete,nah,,
for all other requests please contact us either through the support widget on our website or by contacting us via email info whownet,nah,nah,nah,nah,,
our right to access correct,nah,nah,nah,nah,,
erase your personal data,nah,nah,nah,nah,,
to receive a copy of your personal data,nah,nah,nah,nah,,
you also have the right to instruct us to correct any personal data that is inaccurate,nah,nah,nah,nah,,
lastly you have the right to ask us to erase your personal data if there are no legal reasons for us to retain it such as freedom of expression legal requirements public interest or if required as evidence in legal disputes and one of the following reasons applies,nah,nah,['ask'],nah,,
you can assert your right to limit the processing of your personal data when,nah,nah,"['assert', 'assert']",nah,,
ight to revoke consent,nah,nah,nah,nah,,
right to file a complaint with your supervisory authoriy,nah,nah,nah,nah,,
your browser will need to accept cookies for the optout process to work,nah,nah,nah,nah,,
if you have any questions or concerns about data privacy you can contact us at email,nah,nah,nah,nah,,
you may opt out of such direct marketing at any time,nah,nah,nah,nah,,
if you do not wish us or our related entities to provide such direct marketing to you please call 1800 800 007,nah,['such direct marketing'],nah,['call'],,
subject to certain exemptions provided for under the privacy laws you have a right to access personal information we hold about you,nah,"['personal information', 'personal information']",['access'],nah,,
if you would like to seek access to personal information that metro may have about you or update that information then please contact the metro department that collected your information in the first instance or write to metros privacy officer via the details set out below,nah,nah,nah,nah,,
by phone 1300 363 992 local call cost but calls from mobile and pay phones may incur higher charges,nah,nah,nah,nah,,
if you require further information about how we handle personal information or any privacy issues please contact our office via the metro customer service number on 1800 800 007 or write to our privacy officer at the address below,nah,nah,nah,nah,,
whenever made possible you can update your personal data directly within your account settings section,nah,nah,nah,nah,,
if you are unable to change your personal data please contact us to make the required changes,nah,nah,nah,nah,,
if you wish to be informed what personal data we hold about you and if you want it to be removed from our systems please contact us,nah,nah,nah,nah,,
to access and receive a copy of the personal data we hold about you,nah,nah,nah,nah,,
to rectify any personal data held about you that is inaccurate,nah,nah,nah,nah,,
to request the deletion of personal data held about you,['the deletion'],['the deletion'],nah,nah,,
you have the right to data portability for the information you provide to mobisystems inc,['data portability'],nah,nah,nah,,
you can request to obtain a copy of your personal data in a commonly used electronic format so that you can manage and move it,nah,nah,nah,nah,,
you can optout of having made your activity on the service available to google analytics by installing the google analytics optout browser addon,nah,nah,nah,nah,,
you can optout from flurry analytics service to prevent flurry analytics from using and sharing your information by visiting the flurry s optout page url,nah,nah,nah,nah,,
for users interested in learning how we are adopting these principles please contact us by email at email,nah,nah,nah,nah,,
if you have any questions about this privacy policy please contact us,nah,nah,nah,nah,,
by email email,nah,nah,nah,nah,,
a simple request from you will oblige us to give you full access to the personal information that we have stored about you,nah,nah,nah,nah,,
you have the right to ask the restriction of the processing or deletion of your personal data,nah,"['the restriction', 'the restriction']",['ask'],nah,,
to oppose the processing of your data under the conditions set forth by article 21 of the gdpr,nah,nah,nah,nah,,
you have the right to data portability,['data portability'],nah,nah,nah,,
you will also have the right to file a complaint with the competent supervisory authority,['the competent supervisory authority'],nah,['file'],nah,,
contact at mondly dot com,nah,nah,nah,nah,,
if you decide that you do not want a personalized advertising experience we will not process your personal data for this purpose,nah,nah,nah,nah,,
withdrawal of consent you can withdraw your consent to mopubs personalized advertising experience at any time,nah,nah,nah,nah,,
however as noted above if you live in the european economic area the united kingdom or switzerland you can exercise control over whether we continue to process your personal data and request that we delete or deidentify such personal data by withdrawing your consent at any time,['control'],['control'],nah,nah,,
you can also contact us using the details below,nah,nah,nah,nah,,
unless we have another legal basis for storing your personal data if you are located in the european economic area the united kingdom or switzerland we will delete or deidentify the personal data we have stored about you within 30 days of when you withdraw your consent,nah,nah,['deidentify'],nah,,
if you withdraw your consent if you are located in the european economic area the united kingdom or switzerland or optout if you are located in the united states or another country we will also inform our current mopub partners with whom we have shared your data of your withdrawal or optout so that they as independent controllers of your personal data can also respect your choice,['our current mopub partners'],nah,nah,nah,,
we provide you with account tools to access,['account tools'],nah,nah,nah,,
modify personal data you have provided to us in association with your publisher partner or advertising demand partner account,['association'],nah,nah,nah,,
if you are located in the european economic area or efta states you can confidentially contact twitters data protection officer here,nah,nah,nah,nah,,
you can find their contact details here,nah,nah,nah,nah,,
the data protection officer of the controller is,nah,nah,nah,nah,,
any data subject may at any time contact our data protection officer directly with all questions and suggestions concerning data protection,nah,nah,nah,nah,,
registered persons are free to change the personal data specified during the registration at any time or to have them completely deleted from the data stock of the controller,nah,nah,nah,nah,,
in addition the data controller shall correct or erase personal data at the request or indication of the data subject insofar as there are no statutory storage obligations,['the request'],nah,['erase'],nah,,
data subjects are at any time entitled to revoke the respective separate declaration of consent issued by means of the doubleoptin procedure,nah,nah,nah,nah,,
each data subject shall have the right granted by the european legislator to obtain from the controller free information about his or her personal data stored at any time and a copy of this information,nah,nah,['grant'],['grant'],,
the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing,nah,nah,nah,nah,,
the existence of the right to lodge a complaint with a supervisory authority,['a supervisory authority'],nah,nah,nah,,
c right to rectification,nah,nah,nah,nah,,
if a data subject wishes to exercise this right to rectification he or she may at any time contact any employee of the controller,nah,['this right'],"['exercise', 'exercise']",nah,,
d right to erasure right to be forgotten,nah,nah,"['erasure', 'erasure']",nah,,
each data subject shall have the right granted by the european legislator to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies as long as the processing is not necessary,nah,['the erasure'],['grant'],['grant'],,
each data subject shall have the right granted by the european legislator to obtain from the controller restriction of processing where one of the following applies,nah,nah,['grant'],['grant'],,
f right to data portability,['data portability'],nah,nah,nah,,
each data subject shall have the right granted by the european legislator to receive the personal data concerning him or her which was provided to a controller in a structured commonly used and machinereadable format,nah,nah,['grant'],nah,,
in order to assert the right to data portability the data subject may at any time contact any employee of the carly solutions gmbh co kg,['data portability'],nah,nah,nah,,
g right to object,nah,nah,nah,nah,,
each data subject shall have the right granted by the european legislator to object on grounds relating to his or her particular situation at any time to processing of personal data concerning him or her which is based on point e or f of article 6 1 of the gdpr,nah,nah,['grant'],nah,,
the data subject has the possibility to revoke consent for the handling of personal data at any time from paypal,nah,nah,nah,nah,,
apart from the options stated above you can also object to the respective use of your data by setting socalled optout cookies on the digital advertising alliances website using this link,['the digital advertising alliances website'],nah,nah,nah,,
if you have any questions regarding this please contact us,nah,nah,nah,nah,,
if you believe that we may have any information from or about children under the age of 13 16 in europe please contact us at our contact information provided in section 11,['section'],nah,nah,nah,,
we make good faith efforts to give you a right to access your personal information to have errors in your personal information rectified,nah,['your personal information'],"['give', 'give']",nah,,
to object to the processing of your personal information on legitimate grounds,['the processing'],nah,nah,nah,,
you have the right to object to our processing of your personal information,nah,nah,['object'],nah,,
you may object to the processing of your information in the following circumstances,['the following circumstances'],nah,nah,nah,,
right to erasure you have the right to request us to destroy personal information without undue delay,nah,nah,['request'],nah,,
destruction process we will destroy personal information that is past its retention period using the methods that prevent recovery of such information,nah,nah,nah,nah,,
if you have any questions regarding our practices please email us at email,nah,nah,nah,nah,,
for questions and information about privacy policy and your rights please contact us at email,nah,nah,nah,nah,,
if you have any questions or concerns please contact us by using the contact information offered in the data manager contact information section in this policy,nah,nah,nah,nah,,
accessing correcting and deleting your information,nah,nah,nah,nah,,
if your personal information has changed or if you do not need our services you can update correct delete inaccurate information or delete your personal information in your account settings or by contacting us,['your account settings'],['your personal information'],nah,nah,,
if you have questions about data protection or if you have any requests for resolving issues with your personal data we encourage you to primarily contact us through the game so we can reply to you more quickly,nah,nah,nah,nah,,
address 44 rue des petites ecuries c 75010 paris france,nah,nah,nah,nah,,
you can delete or modify the submitted data using your profile page,nah,nah,['modify'],nah,,
you can disconnect your devices from my flow and delete your data through the applications settings menu,['the applications settings'],nah,nah,nah,,
delete any of your personal data that we might possess,nah,nah,nah,nah,,
you can make a request via this online request form or by contacting our data protection officer at the address below,nah,nah,nah,nah,,
if you have any questions about this statement or any privacy issues in our applications or services feel free to contact our data protection officer via this online request form or by post,nah,nah,nah,nah,,
right to rectify your personal information you can request that we update block or delete your personal data if the data is incomplete outdated incorrect unlawfully received or no longer relevant for the purpose of processing,nah,nah,nah,nah,,
right to restrict the use of your personal information,nah,nah,nah,nah,,
right to request that your personal information is erased,nah,nah,nah,nah,,
right to object to processing of your personal information,nah,nah,nah,nah,,
right to lodge a complaint with a supervisory authority,['a supervisory authority'],nah,nah,nah,,
you also have a right to independently remove personal information on your account and make changes and corrections to your information provided that such changes and corrections contain uptodate and true information,nah,['personal information'],"['remove', 'provide']",nah,,
if you have any questions please send your inquiries to service support at email or in writing to barbara strozzilaan 201 1083 hn amsterdam the netherlands,nah,nah,nah,nah,,
the email address of our dpo is email,nah,nah,nah,nah,,
for any additional questions about thirdparty information collection please refer to email,nah,nah,nah,nah,,
you can control and limit our use of your advertising id in your device settings,nah,nah,nah,nah,,
for additional questions contact us at email,nah,nah,nah,nah,,
you can exercise these rights at any time by following the instructions below or sending us relevant requests to email,['the instructions'],['these rights'],nah,['follow'],,
you may check what data we store about you for this purpose please load terms privacy from your game settings and follow instructions in section request a summary of personal data in privacy policy available to eeabased users only,nah,['a summary'],nah,nah,,
you can contact us if your email address has been changed and we should replace your old email address,nah,nah,nah,nah,,
right to restrict processing of your personal information in accordance with art,nah,nah,nah,nah,,
you can contact us if you want to restrict processing,nah,nah,nah,nah,,
you can contact us to receive your data if you want to upload it to another service,nah,nah,nah,nah,,
you can contact us if you do not agree with any user analytics procedures as described within this privacy policy,nah,nah,nah,nah,,
you can contact the data protection supervisory authority directly,nah,nah,nah,nah,,
for previous versions of this privacy policy please contact us via email,nah,nah,nah,nah,,
for privacy questions and exercising your rights via our privacy email email,nah,nah,nah,nah,,
you can find contact details of data protection authority at url,nah,nah,nah,nah,,
for more information on which authority to contact please email us here email,nah,nah,nah,nah,,
